name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
132nd Wing Static Displays -- Des Moines,Des Moines,Iowa,United States,50321,North America,Des Moines International Airport; Iowa Air National Guard Base,https://www.132wg.ang.af.mil/,restricted,41.541219,-93.660997
133rd Air Control Squadron -- Fort Dodge,Fort Dodge,Iowa,United States,50501,North America,Fort Dodge Regional Airport,https://www.185arw.ang.af.mil/,restricted,42.550353,-94.178458
185th Air Refueling Wing Static Displays -- Sioux City,Sioux City,Iowa,United States,51110,North America,Sioux Gateway Airport; Iowa Air National Guard Base,https://www.185arw.ang.af.mil/,restricted,42.396358,-96.370997
Airpower Museum -- Antique Airfield,Ottumwa,Iowa,United States,52501,North America,22001 Bluegrass Road; Antique Airfield Blakesburg,https://www.antiqueairfield.com/,public,40.978689,-92.586067
American Legion Post 19 Legion Park -- Sigourney,Sigourney,Iowa,United States,,North America,,,public,41.332181,-92.216453
American Legion Post 285 -- Parkersburg,Parkersburg,Iowa,United States,,North America,,,public,42.573814,-92.793317
American Legion Post 61 Cobb Memorial Park -- Ida Grove,Ida Grove,Iowa,United States,,North America,,,public,42.351861,-95.473658
American Legion Post 9 -- Oelwein,Oelwein,Iowa,United States,,North America,,,public,42.646797,-91.914183
AMVETS Post 49 -- Cedar Falls,Cedar Falls,Iowa,United States,,North America,,,public,42.519850,-92.441458
Arthur N Neu Airport Display -- Carroll,Carroll,Iowa,United States,,North America,,,public,42.046158,-94.784353
Boone Municipal Airport Display -- Boone,Boone,Iowa,United States,,North America,,,public,42.052250,-93.852275
Burlington Municipal Airport Display -- Burlington,Burlington,Iowa,United States,,North America,,,public,40.782533,-91.119467
Central Iowa All Veterans Memorial -- Marshalltown,Marshalltown,Iowa,United States,,North America,,,public,42.031164,-92.922686
Correctionville Veterans Display -- Correctionville,Correctionville,Iowa,United States,,North America,,,public,42.472294,-95.786742
Fairfield Municipal Airport Display -- Fairfield,Fairfield,Iowa,United States,,North America,,,public,41.049728,-91.984244
Harlan Municipal Airport Display -- Harlan,Harlan,Iowa,United States,,North America,,,public,41.579764,-95.335289
Iowa Aviation Heritage Museum,Ankeny,Iowa,United States,50021,North America,Ankeny Regional Airport,https://www.iowaaviationheritagemuseum.org/,public,41.693853,-93.569811
Iowa Aviation Museum,Greenfield,Iowa,United States,50849,North America,2251 Airport Road; Greenfield Municipal Airport,https://www.flyingmuseum.com/,public,41.325731,-94.443814
Iowa City Municipal Airport Display -- Iowa City,Iowa City,Iowa,United States,,North America,,,public,41.639672,-91.539367
Iowa Falls Municipal Airport Display -- Iowa Falls,Iowa Falls,Iowa,United States,,North America,,,public,42.470300,-93.262344
Iowa Gold Star Military Museum,Johnston,Iowa,United States,50131,North America,7105 NW 70th Avenue; Camp Dodge,https://iowagoldstarmuseum.org/,restricted,41.702986,-93.711308
Kingston Stadium -- Cedar Rapids,Cedar Rapids,Iowa,United States,,North America,,,public,41.968486,-91.685056
Louisa County All Veterans Memorial -- Grandview,Grandview,Iowa,United States,,North America,,,public,41.277089,-91.196092
Mid America Museum of Aviation and Transportation,Sioux City,Iowa,United States,51102,North America,2600 Expedition Court; Sioux Gateway Airport,https://www.midamericaairmuseum.org/,public,42.413858,-96.374197
Monona County Veterans Memorial Museum -- Onawa,Onawa,Iowa,United States,,North America,,,public,42.036831,-96.099397
Pierces Pumpkin Patch -- Columbia,Columbia,Iowa,United States,,North America,,,public,41.162569,-93.183617
Sam Wise Youth Complex -- Altoona,Altoona,Iowa,United States,,North America,,,public,41.644503,-93.454342
Seminole Valley Park -- Cedar Rapids,Cedar Rapids,Iowa,United States,,North America,,,public,42.003531,-91.728850
Sheldon Municipal Airport Display -- Sheldon,Sheldon,Iowa,United States,,North America,,,public,43.212917,-95.839061
The Flying Wienie -- Cedar Rapids,Cedar Rapids,Iowa,United States,,North America,,,public,41.969806,-91.669072
Veterans Memorial Plaza -- Dubuque,Dubuque,Iowa,United States,,North America,,,public,42.514497,-90.646625
Veterans Park -- Ryan,Ryan,Iowa,United States,,North America,,,public,42.351722,-91.482758
