manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Beech,C-45,H,51-11699,Expeditor,,fixed_wing,monoplane,military,transport,,c/n 4156; ex-civil N3333G; cosmetically converted to represent an AT-7 navigation trainer of the type flown at Selman Field Monroe,c/n 4156; N3333G; AT-7; C45; C45H; AT7,Chennault Aviation and Military Museum,on_display
Beech,SNB,5,23851,Expeditor,,fixed_wing,monoplane,military,transport,,US Navy BuNo 23851; c/n 6177; ex-civil N15959; converted to resemble a Model 18,BuNo 23851; c/n 6177; N15959; SNB5,Chennault Aviation and Military Museum,on_display
Douglas,DC-3,A,N496,,,fixed_wing,monoplane,civilian,commercial_transport,,DC-3A-269C c/n 02270 displayed in the outdoor aviation park,c/n 02270; DC3; DC3A,Chennault Aviation and Military Museum,on_display
Vought,A-7,,154485,Corsair II,,fixed_wing,monoplane,military,ground_attack,,BuNo 154485 c/n B-125. The museum and Wikipedia both call it an A-7E but BuNo 154485 falls in the 154361 to 154556 A-7B block - VARIANT CONFLICT flagged and left blank rather than asserted,BuNo 154485; c/n B-125; A7,Chennault Aviation and Military Museum,on_display
North American,F-86,L,52-4168,Sabre,,fixed_wing,monoplane,military,fighter,,c/n 190-571. Previously displayed at Jackson Barracks New Orleans; Aerial Visuals records the move so the two-site claim is resolved in Chennault's favour,c/n 190-571; F86; F86L,Chennault Aviation and Military Museum,on_display
Mikoyan-Gurevich,MiG-15,UTI,2238,Midget,,fixed_wing,monoplane,military,trainer,,Two-seat Midget carrying People's Liberation Army Air Force serial 2238; civil-registered N2069 in the United States,BuNo 2238; N2069; MiG15; MiG15UTI,Chennault Aviation and Military Museum,on_display
Hughes,OH-6,A,65-12950,Cayuse,,rotary_wing,,military,utility,,c/n 0035; block-check passes for the FY65 OH-6A run,c/n 0035; OH6; OH6A,Chennault Aviation and Military Museum,on_display
Curtiss,P-40,F,,Warhawk,,fixed_wing,monoplane,military,fighter,,REPLICA - a three-quarter scale reproduction c/n 001 registered N7PJ; painted in Flying Tigers markings to honour Claire Chennault. Not an original airframe,c/n 001; N7PJ; P40; P40F,Chennault Aviation and Military Museum,on_display
Bell,UH-1,H,,Iroquois,,rotary_wing,,military,utility,,Displayed in the outdoor aviation park; no serial published by the museum and Aerial Visuals carries none - blank rather than guessed,Huey; UH1; UH1H,Chennault Aviation and Military Museum,on_display
Jones,WLAC-1,,N640J,White Lightning,,fixed_wing,monoplane,civilian,private,,c/n 112; a Louisiana-built composite racer,c/n 112; WLAC1,Chennault Aviation and Military Museum,on_display
