manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Curtiss,JN-4,D,N2086,Jenny,,fixed_wing,monoplane,military,trainer,1917,FAA registry September 2026 shows N2086 to Owls Head Transportation Museum - current; many of the museum's aircraft are maintained airworthy and flown at summer events,c/n 34094; JN4; JN4D,Owls Head Transportation Museum,on_display
Standard,J-1,,N22581,,,fixed_wing,monoplane,military,trainer,1918,FAA registry September 2026 shows N22581 to Owls Head Transportation Museum,c/n 581; J1,Owls Head Transportation Museum,on_display
Pitcairn,PA-7,S,N13158,Super Mailwing,,fixed_wing,monoplane,civilian,transport,1930,FAA registry September 2026 shows N13158 to Owls Head Transportation Museum,c/n 151; PA7; PA7S,Owls Head Transportation Museum,on_display
Travel Air,D-4000,,N477N,,,fixed_wing,monoplane,civilian,private,1930,FAA registry September 2026 shows N477N to Owls Head Transportation Museum,c/n 1379; E-4000; D4000,Owls Head Transportation Museum,on_display
Waco,UBF,,N13442,,,fixed_wing,monoplane,civilian,private,1932,FAA registry September 2026 shows N13442 to Owls Head Transportation Museum,c/n 3766; UBF-2; UBF2,Owls Head Transportation Museum,on_display
Boeing,PT-17,,N55361,Kaydet,,fixed_wing,monoplane,military,trainer,1941,USAAF 41-8236; FAA registry September 2026 shows N55361 to Owls Head Transportation Museum,c/n 75-1795; 41-8236; PT17,Owls Head Transportation Museum,on_display
Boeing,PT-17,,N75980,Kaydet,,fixed_wing,monoplane,military,trainer,1942,Second Stearman; FAA registry September 2026 shows N75980 to Owls Head Transportation Museum typed B75N1,c/n 75-6746; B75N1; PT17,Owls Head Transportation Museum,on_display
Fokker,C.V,,N439FK,,,fixed_wing,monoplane,military,recon,1923,FAA registry September 2026 shows N439FK to Owls Head Transportation Museum typed Fokker C-4,c/n 4127; C-4; C4,Owls Head Transportation Museum,on_display
Fokker,Dr.I,,N425FK,,,fixed_wing,monoplane,military,fighter,1974,Flying replica triplane built by Cianchette; FAA registry September 2026 shows N425FK to Owls Head Transportation Museum,c/n 2001,Owls Head Transportation Museum,on_display
Nieuport,28,,N27226,,,fixed_wing,monoplane,military,fighter,1976,Replica built by Swanson; FAA registry September 2026 shows N27226 to Owls Head Transportation Museum,c/n C-1,Owls Head Transportation Museum,on_display
SPAD,XIII,,N14574,,,fixed_wing,monoplane,military,fighter,1975,Replica built by Swanson; FAA registry September 2026 shows N14574 to Owls Head Transportation Museum,c/n C-1,Owls Head Transportation Museum,on_display
