name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
American Heritage Museum,Hudson,Massachusetts,United States,01749,North America,568 Main Street,https://www.americanheritagemuseum.org,public,42.402261,-71.507856
Barnes Air National Guard Base Airpark,Westfield,Massachusetts,United States,01085,North America,,,restricted,42.17285,-72.71786
Battleship Cove,Fall River,Massachusetts,United States,02721,North America,5 Water Street,https://www.battleshipcove.org,public,41.705569,-71.163181
Beverly Regional Airport War Memorial,Beverly,Massachusetts,United States,01915,North America,,,public,42.58600,-70.91196
Hanscom Air Force Base,Bedford,Massachusetts,United States,01731,North America,,,restricted,42.46197,-71.27985
Otis Air National Guard Base Airpark,Buzzards Bay,Massachusetts,United States,02542,North America,Joint Base Cape Cod,,restricted,41.65419,-70.53741
Shea Field Memorial Grove,South Weymouth,Massachusetts,United States,02190,North America,Union Point,,public,42.16451,-70.94605
VFW Post 6643 -- East Freetown,East Freetown,Massachusetts,United States,02717,North America,,,public,41.76390,-71.01403
Vietnam Veterans of America Chapter 554 -- Auburn,Auburn,Massachusetts,United States,01501,North America,,,public,42.20144,-71.82470
Westfield Aviation Museum,Westfield,Massachusetts,United States,01085,North America,111 Airport Road,https://westfieldaviationmuseum.org,public,42.157914,-72.719831
