name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Alpena Combat Readiness Training Center,Alpena,Michigan,United States,49707,North America,Alpena County Regional Airport,https://www.alpenacrtc.ang.af.mil/,restricted,45.0868,-83.5661
American Legion Post 106 -- Grayling,Grayling,Michigan,United States,49738,North America,,,public,44.6591,-84.7121
American Legion Post 108 -- Oxford,Oxford,Michigan,United States,48371,North America,,,public,42.8105,-83.2503
American Legion Post 250 -- Plainwell,Plainwell,Michigan,United States,49080,North America,Plainwell Municipal Airport,,public,42.4664,-85.6429
American Legion Post 255 -- Croswell,Croswell,Michigan,United States,48422,North America,,,public,43.2785,-82.6274
American Legion Post 295 -- Breckenridge,Breckenridge,Michigan,United States,48615,North America,,,public,43.4084,-84.4818
American Legion Post 325 -- Blissfield,Blissfield,Michigan,United States,49228,North America,,,public,41.8348,-83.8711
American Legion Post 383 -- Rosebush,Rosebush,Michigan,United States,48878,North America,,,public,43.7133,-84.7683
American Legion Post 42 -- Charlotte,Charlotte,Michigan,United States,48813,North America,,,public,42.5652,-84.8517
American Legion Post 4 -- Mount Clemens,Mount Clemens,Michigan,United States,48043,North America,,,public,42.6139,-82.8896
American Legion Post 76 -- Ludington,Ludington,Michigan,United States,49431,North America,Mason County Airport,,public,43.9563,-86.4101
Bay County Vietnam Veterans Memorial -- Bay City,Bay City,Michigan,United States,48706,North America,,,public,43.5984,-83.8974
Benjamin O Davis Jr Aerospace Technical High School -- Detroit,Detroit,Michigan,United States,48234,North America,Coleman A Young Municipal Airport,,public,42.4042,-83.0171
Camp Grayling,Grayling,Michigan,United States,49739,North America,Camp Grayling Joint Maneuver Training Center,,restricted,44.8599,-84.5805
Delta County Airport -- Escanaba,Escanaba,Michigan,United States,49829,North America,Delta County Airport,,public,45.7141,-87.0874
Dort Mall -- Flint,Flint,Michigan,United States,48503,North America,3600 South Dort Highway,,public,42.9911,-83.6558
EAA Chapter 304 -- Jackson,Jackson,Michigan,United States,49202,North America,Jackson County Airport Reynolds Field,,public,42.2552,-84.4602
Ford Airport -- Iron Mountain,Iron Mountain,Michigan,United States,49801,North America,Ford Airport,,public,45.8138,-88.1183
Freedom Hill Park -- Sterling Heights,Sterling Heights,Michigan,United States,48312,North America,14900 Metropolitan Parkway,,public,42.5657,-82.9775
Gaylord Regional Airport -- Gaylord,Gaylord,Michigan,United States,49735,North America,Gaylord Regional Airport,,public,45.0177,-84.6881
Gerald R. Ford Presidential Museum,Grand Rapids,Michigan,United States,49504,North America,303 Pearl Street NW,https://www.fordlibrarymuseum.gov,public,42.968564,-85.677414
Grand Haven Memorial Airpark -- Grand Haven,Grand Haven,Michigan,United States,49417,North America,Grand Haven Memorial Airpark,,public,43.0371,-86.1975
Henry Ford Museum of American Innovation,Dearborn,Michigan,United States,48124,North America,20900 Oakwood Boulevard,https://www.thehenryford.org,public,42.302589,-83.235042
Hidden Cove Park -- Norton Shores,Norton Shores,Michigan,United States,49441,North America,,,public,43.1809,-86.2211
K. I. Sawyer Heritage Air Museum,Gwinn,Michigan,United States,49841,North America,402 Third Street,https://kisawyerheritageairmuseum.org,public,46.338306,-87.382111
Michigan Army National Guard Army Aviation Support Facility,Grand Ledge,Michigan,United States,48837,North America,Abrams Municipal Airport,,restricted,42.7711,-84.7304
Michigan Flight Museum,Belleville,Michigan,United States,48111,North America,47884 D Street Willow Run Airport,https://miflightmuseum.org,public,42.240003,-83.545022
