name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Columbia-Marion County Airport T-33 Display -- Columbia,Columbia,Mississippi,United States,39429,North America,Columbia-Marion County Airport,,public,31.2926,-89.8175
Columbus Air Force Base Air Park,Columbus AFB,Mississippi,United States,39710,North America,Columbus Air Force Base - 14th Flying Training Wing,https://www.columbus.af.mil,restricted,33.6229,-88.4366
East Mississippi Electric Power Association -- Meridian,Meridian,Mississippi,United States,39301,North America,East Mississippi Electric Power Association,,public,32.3878,-88.6845
East Mississippi Veterans Memorial Park -- Meridian,Meridian,Mississippi,United States,39307,North America,Meridian Regional Airport - Key Field,,public,32.3434,-88.7390
George R. Hall Airpark -- Hattiesburg,Hattiesburg,Mississippi,United States,39401,North America,Bobby L. Chain Municipal Airport - north side,,public,31.2702,-89.2522
Greenville Air Force Base Museum,Greenville,Mississippi,United States,38701,North America,Mid-Delta Regional Airport former passenger terminal,https://greenvillems.org/airport/,appointment,33.481947,-90.989906
Grenada High School -- Grenada,Grenada,Mississippi,United States,38901,North America,Grenada High School,,public,33.7621,-89.8065
INFINITY Science Center,Pearlington,Mississippi,United States,39572,North America,One Discovery Circle,https://www.visitinfinity.com/,public,30.283900,-89.618900
Keesler Air Force Base Air Park,Biloxi,Mississippi,United States,39534,North America,Keesler Air Force Base - Larcher Boulevard and Muse Manor,https://www.keesler.af.mil,restricted,30.4062,-88.9114
Mississippi Air National Guard 172nd Airlift Wing,Jackson,Mississippi,United States,39208,North America,Jackson-Medgar Wiley Evers International Airport - Allen C. Thompson Field,https://www.172aw.ang.af.mil,restricted,32.3292,-90.0834
Mississippi Armed Forces Museum,Camp Shelby,Mississippi,United States,39407,North America,Building 850 Camp Shelby,https://msarmedforcesmuseum.org/,restricted,31.197700,-89.224358
Mississippi Army Aviation Support Facility and Combat Readiness Training Center,Gulfport,Mississippi,United States,39501,North America,Gulfport-Biloxi International Airport - Gulfport CRTC,,restricted,30.4149,-89.0601
NASA John C. Stennis Space Center,Bay Saint Louis,Mississippi,United States,39529,North America,John C. Stennis Space Center,https://www.nasa.gov/stennis,restricted,30.3883,-89.6221
National Agricultural Aviation Museum,Jackson,Mississippi,United States,39206,North America,1150 Lakeland Drive,https://www.msagmuseum.org/,public,32.336344,-90.157603
Naval Air Station Meridian,Meridian,Mississippi,United States,39309,North America,Naval Air Station Meridian - McCain Field,https://cnrse.cnic.navy.mil/Installations/NAS-Meridian,restricted,32.5463,-88.6061
Northside Park -- Philadelphia,Philadelphia,Mississippi,United States,39350,North America,Northside Park,,public,32.8008,-89.1084
T-37 Tweet Display -- Columbus,Columbus,Mississippi,United States,39701,North America,US-45 / US-82 interchange,,public,33.5072,-88.4320
Town of Walnut -- Walnut,Walnut,Mississippi,United States,38683,North America,Town of Walnut,,public,34.9499,-88.9076
Veterans Memorial Park -- D'Iberville,D'Iberville,Mississippi,United States,39540,North America,Veterans Memorial Park,,public,30.4321,-88.9002
Veterans of Foreign Wars Post 2567 -- Hazlehurst,Hazlehurst,Mississippi,United States,39083,North America,VFW Post 2567,,public,31.8708,-90.4122
Veterans of Foreign Wars Post 6586 -- Sumrall,Sumrall,Mississippi,United States,39482,North America,VFW Post 6586,,public,31.4179,-89.5487
Veterans of Foreign Wars Post 9122 -- Magee,Magee,Mississippi,United States,39111,North America,VFW Post 9122,,public,31.9103,-89.7901
Veterans Park -- Tupelo,Tupelo,Mississippi,United States,38801,North America,Veterans Park - Veterans Boulevard,,public,34.2661,-88.6792
Vietnam Veterans Memorial -- Ocean Springs,Ocean Springs,Mississippi,United States,39564,North America,Vietnam Veterans Memorial,,public,30.4086,-88.7670
