name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Air Victory Museum,Lumberton,New Jersey,United States,08048,North America,68 Stacy Haines Road,https://njavm.org,public,39.93961,-74.84472
American Legion Post 25 -- Milltown,Milltown,New Jersey,United States,08850,North America,,,public,40.451453,-74.435506
American Legion Post 328 -- Clark,Clark,New Jersey,United States,07066,North America,,,public,40.619739,-74.298181
Atlantic City Air National Guard Base,Egg Harbor Township,New Jersey,United States,08234,North America,Atlantic City International Airport,https://www.177fw.ang.af.mil/,restricted,39.443653,-74.585506
Aviation Hall of Fame and Museum of New Jersey,Teterboro,New Jersey,United States,07608,North America,400 Fred Wehran Drive,https://njahof.org,public,40.85256,-74.05563
Battleship New Jersey Museum and Memorial,Camden,New Jersey,United States,08103,North America,100 Clinton Street,https://battleshipnewjersey.org,public,39.94010,-75.13196
Guardian Park -- Highlands,Highlands,New Jersey,United States,07732,North America,Sandy Hook Unit Gateway National Recreation Area,https://www.nps.gov/gate/,public,40.456033,-74.003900
Joint Base McGuire-Dix-Lakehurst Air Park,Wrightstown,New Jersey,United States,08641,North America,,https://www.jbmdl.jb.mil/,restricted,40.028717,-74.611794
Millville Army Air Field Museum,Millville,New Jersey,United States,08332,North America,1 Leddon Street,https://p47millville.org,public,39.37201,-75.07218
NAES Lakehurst Air Park,Lakehurst,New Jersey,United States,08733,North America,,https://www.jbmdl.jb.mil/,restricted,40.031097,-74.318064
National Guard Militia Museum of New Jersey,Sea Girt,New Jersey,United States,08750,North America,Camp Drive Sea Girt National Guard Training Center,https://nj.gov/military/museum,public,40.12239,-74.03929
National Guard Militia Museum of New Jersey Artillery Annex,Lawrenceville,New Jersey,United States,08648,North America,,https://www.nj.gov/military/museum/,appointment,40.271031,-74.745886
Naval Air Station Wildwood Aviation Museum,Cape May,New Jersey,United States,08204,North America,500 Forrestal Road,https://usnasw.org,public,39.00508,-74.90970
New Jersey Vietnam Veterans Memorial -- Holmdel,Holmdel,New Jersey,United States,07733,North America,1 Memorial Lane,https://www.njvvmf.org/,public,,
Nike Missile Site NY-56 Launch Area -- Highlands,Highlands,New Jersey,United States,07732,North America,Fort Hancock Sandy Hook,https://ny56nike.weebly.com/,public,,
South Plainfield Monument Park -- South Plainfield,South Plainfield,New Jersey,United States,07080,North America,,https://www.southplainfieldnj.com/,public,40.582947,-74.414556
Veterans Memorial Park -- Burlington Township,Burlington Township,New Jersey,United States,08016,North America,,,public,40.067522,-74.827031
Veterans Park -- Hamilton Township,Hamilton Township,New Jersey,United States,08690,North America,2206 Kuser Road,,public,40.210806,-74.662067
