name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Air Force Museum of New Zealand,Christchurch,Canterbury,New Zealand,8042,Oceania,"45 Harvard Avenue, Wigram, Christchurch",https://airforcemuseum.co.nz/,public,-43.5466,172.5477
Museum of Transport and Technology,Auckland,Auckland,New Zealand,1022,Oceania,"805 Great North Road and 200-208 Meola Road, Western Springs, Auckland",https://motat.nz/,public,-36.8673,174.7276
Omaka Aviation Heritage Centre,Blenheim,Marlborough,New Zealand,7272,Oceania,"14 Rosina Corlett Lane (via Aerodrome Road), Omaka, Blenheim",https://www.omaka.org.nz/,public,-41.5379,173.9299
Ashburton Aviation Museum,Ashburton,Canterbury,New Zealand,7776,Oceania,"Ashburton Airfield, Seafield Road, Ashburton",https://www.aviationmuseum.co.nz/,public,-43.9047,171.8056
Ferrymead Aeronautical Society,Christchurch,Canterbury,New Zealand,8023,Oceania,"Ferrymead Heritage Park, 50 Ferrymead Park Drive, Heathcote, Christchurch",https://ferrymeadaero.org.nz/,public,-43.5581,172.7057
New Zealand Warbirds Association,Papakura,Auckland,New Zealand,2582,Oceania,"824 Harvard Lane (entrance off Hamlin Road), Ardmore Airport, Papakura",https://nzwarbirds.org.nz/,public,-37.0297,174.9733
Classic Flyers NZ,Mount Maunganui,Bay of Plenty,New Zealand,3116,Oceania,"9 Jean Batten Drive, Mount Maunganui, Tauranga",https://www.classicflyersnz.com/,public,-37.6678,176.1977
Auckland War Memorial Museum,Auckland,Auckland,New Zealand,1010,Oceania,"The Auckland Domain, Parnell, Auckland",https://www.aucklandmuseum.com/,public,-36.8603,174.7778
National Museum of the Royal New Zealand Navy,Devonport,Auckland,New Zealand,0624,Oceania,"64 King Edward Parade, Torpedo Bay, Devonport, Auckland",https://navymuseum.co.nz/,public,-36.8287,174.8093
National Transport and Toy Museum,Wanaka,Otago,New Zealand,9382,Oceania,"891 State Highway 6, RD 2, Wanaka",https://www.nttmuseumwanaka.co.nz/,public,-44.7227,169.2400
Wanaka Airport Gate Guard,Wanaka,Otago,New Zealand,9382,Oceania,"Wanaka Airport, State Highway 6, Wanaka",,public,-44.7225,169.2458
Croydon Aviation Heritage Centre,Mandeville,Southland,New Zealand,9776,Oceania,"Old Mandeville Airfield, 1558 Waimea Highway, RD 6, Gore",https://www.croydonaviation.co.nz/,public,-45.9914,168.8131
Gore Air Force and Ag-Aviation Museum,Gore,Southland,New Zealand,9710,Oceania,"43 Maitland Street, East Gore, Gore",,public,-46.0850,168.9550
RNZAF Base Ohakea,Bulls,Manawatu-Whanganui,New Zealand,4816,Oceania,"RNZAF Base Ohakea, State Highway 1, Bulls",https://www.nzdf.mil.nz/air-force/where-we-are/ohakea/,restricted,-40.2061,175.3878
Southward Car Museum,Paraparaumu,Wellington,New Zealand,5036,Oceania,"Otaihanga Road, Otaihanga, Paraparaumu",https://www.southwardcarmuseum.co.nz/,public,-40.8940,175.0292
Museum of New Zealand Te Papa Tongarewa,Wellington,Wellington,New Zealand,6011,Oceania,"55 Cable Street, Te Aro, Wellington",https://www.tepapa.govt.nz/,public,-41.2905,174.7821
Taranaki Aviation Transport and Technology Museum,New Plymouth,Taranaki,New Zealand,4310,Oceania,"Corner State Highway 3 South and Kent Road, 13 Kent Road, New Plymouth",https://www.tatatm.co.nz/,public,-39.0580,174.0806
Tairawhiti Aviation Museum,Gisborne,Gisborne,New Zealand,4010,Oceania,"13 Aerodrome Road, Gisborne",https://gam.org.nz/,public,-38.6612,177.9851
Founders Heritage Park,Nelson,Nelson,New Zealand,7010,Oceania,"87 Atawhai Drive, The Wood, Nelson",https://www.founderspark.co.nz/,public,-41.2617,173.2969
Geraldine Vintage Car and Machinery Museum,Geraldine,Canterbury,New Zealand,7930,Oceania,"178 Talbot Street, Geraldine",https://www.geraldinevintagemuseum.com/,public,-44.1026,171.2443
South Canterbury Aviation Heritage Centre,Timaru,Canterbury,New Zealand,7910,Oceania,"Old Control Tower, Richard Pearse Airport, Falvey Road, Timaru",,public,-44.3036,171.2249
New Zealand Helicopter Heritage Museum,Kaiapoi,Canterbury,New Zealand,7692,Oceania,"80 Harpers Road, Eyreton, RD 2, Kaiapoi",,appointment,-43.3975,172.6130
Richard Pearse Memorial,Waitohi,Canterbury,New Zealand,7986,Oceania,"Main Waitohi Road, Upper Waitohi, near Temuka",,public,-44.2081,171.1231
