name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
145th Airlift Wing Air Park -- Charlotte,Charlotte,North Carolina,United States,28208,North America,Minuteman Way,,restricted,35.21528,-80.92516
82nd Airborne Division War Memorial Museum,Fort Bragg,North Carolina,United States,28310,North America,Ardennes Street,https://www.82ndairbornedivisionmuseum.com/,restricted,35.13054,-79.02222
Airborne and Special Operations Museum,Fayetteville,North Carolina,United States,28301,North America,100 Bragg Boulevard,https://www.asomf.org,public,35.056133,-78.885625
American Legion Post 243 -- Bessemer City,Bessemer City,North Carolina,United States,28016,North America,Long Creek Road,,public,35.28473,-81.31029
American Legion Post 440 -- New Salem,New Salem,North Carolina,United States,28110,North America,,,public,35.13513,-80.37493
American Legion Post 65 -- Statesville,Statesville,North Carolina,United States,28677,North America,,,public,35.75684,-80.80626
Aviator Hangar Bar and Brewery -- Fuquay-Varina,Fuquay-Varina,North Carolina,United States,27526,North America,688 Brewing Drive,https://aviatorbrew.com/,public,35.59365,-78.79190
Battleship North Carolina,Wilmington,North Carolina,United States,28401,North America,1 Battleship Road NE,https://www.battleshipnc.com,public,34.236592,-77.953414
Camp Mackall Glider Memorial -- Camp Mackall,Camp Mackall,North Carolina,United States,28376,North America,,,restricted,35.03693,-79.46868
City of Goldsboro F-86H Sabre -- Goldsboro,Goldsboro,North Carolina,United States,27530,North America,300 North Center Street,,public,35.38597,-77.99590
City of Havelock Harrier -- Havelock,Havelock,North Carolina,United States,28532,North America,Havelock Police Station,,public,34.87586,-76.90299
CLT Airport Overlook -- Charlotte,Charlotte,North Carolina,United States,28208,North America,,,public,35.22449,-80.96221
Coast Guard Air Station Elizabeth City,Elizabeth City,North Carolina,United States,27909,North America,,,restricted,36.26304,-76.19088
Craven Community College Havelock-Cherry Point Campus -- Havelock,Havelock,North Carolina,United States,28532,North America,,,restricted,34.87949,-76.89856
Disabled American Veterans Chapter 59 -- Hamlet,Hamlet,North Carolina,United States,28345,North America,,,public,34.87621,-79.72636
Eastern Carolina Aviation Heritage Exhibit,Havelock,North Carolina,United States,28532,North America,201 Tourist Center Drive,https://havelockevents.com,public,34.891133,-76.926606
Enka Middle School -- Candler,Candler,North Carolina,United States,28715,North America,392 Asbury Road,,public,35.55097,-82.66461
Henrys Trucks and Equipment Sales -- Albemarle,Albemarle,North Carolina,United States,28001,North America,,,public,35.35696,-80.21933
Hickory Aviation Museum,Hickory,North Carolina,United States,28601,North America,3101 9th Avenue Drive NW,https://www.hickoryaviationmuseum.org,public,35.742214,-81.389360
James Rogers McConnell Air Museum,Carthage,North Carolina,United States,28327,North America,832 Dowd Road,https://moorecountyairmuseum.org,public,35.336647,-79.437525
Lawson Creek Park -- New Bern,New Bern,North Carolina,United States,28562,North America,,,public,35.10122,-77.05558
MCAS Cherry Point Historic Air Park,Cherry Point,North Carolina,United States,28533,North America,,,restricted,34.88570,-76.89610
MCAS Cherry Point Main Gate Harrier -- Havelock,Havelock,North Carolina,United States,28532,North America,Fontana Boulevard,,public,34.88295,-76.90658
MCAS Cherry Point Sound of Freedom Golf Course -- Cherry Point,Cherry Point,North Carolina,United States,28533,North America,,,restricted,34.94620,-76.88731
New River Aviation Memorial -- Jacksonville,Jacksonville,North Carolina,United States,28540,North America,Robert L. Wilson Boulevard at Curtis Road,,restricted,34.72595,-77.46855
North Carolina A and T State University -- Greensboro,Greensboro,North Carolina,United States,27411,North America,Scott Park John W Mitchell Drive,,public,36.07721,-79.77002
North Carolina Army National Guard Aviation Facility -- Raleigh,Raleigh,North Carolina,United States,27616,North America,,,restricted,35.86545,-78.77963
North Carolina Aviation Museum and Hall of Fame,Asheboro,North Carolina,United States,27205,North America,2222 Pilots View Road,https://www.ncamhof.com,public,35.650903,-79.894150
North Carolina Military History Museum,Kure Beach,North Carolina,United States,28449,North America,123 Riverfront Road,https://www.ncmilitaryhistoricalsociety.org,public,33.981708,-77.918275
North Carolina Transportation Museum,Spencer,North Carolina,United States,28159,North America,1 Samuel Spencer Drive,https://www.nctransportationmuseum.org,public,35.685753,-80.436108
Pope Army Airfield Air Park -- Fort Bragg,Fort Bragg,North Carolina,United States,28308,North America,Reilly Street south of Bomard Street,https://www.pope.af.mil/,restricted,35.16643,-79.00330
Seymour Johnson AFB Heritage Air Park -- Goldsboro,Goldsboro,North Carolina,United States,27531,North America,Wright Brothers Avenue,https://www.seymourjohnson.af.mil/,restricted,35.35790,-77.96185
Simmons Army Airfield Gate Guards -- Fort Bragg,Fort Bragg,North Carolina,United States,28307,North America,,,restricted,35.13888,-78.93705
Sullenberger Aviation Museum,Charlotte,North Carolina,United States,28208,North America,4108 Minuteman Way,https://www.sullenbergeraviation.org,public,35.225003,-80.933186
The Bryan Multi-Sport Complex -- Goldsboro,Goldsboro,North Carolina,United States,27534,North America,,,public,35.36014,-77.94246
Tri-County Airport T-33 -- Woodland,Woodland,North Carolina,United States,27897,North America,,,public,36.29000,-77.17199
VFW Post 2573 -- Wilmington,Wilmington,North Carolina,United States,28412,North America,,,public,34.18849,-77.93287
VFW Post 3006 -- Salisbury,Salisbury,North Carolina,United States,28144,North America,,,public,35.67956,-80.48774
VFW Post 5202 -- Waynesville,Waynesville,North Carolina,United States,28786,North America,,,public,35.49242,-82.99160
VFW Post 5305 Donald Lanford Drum Post -- Newton,Newton,North Carolina,United States,28658,North America,,,public,35.66451,-81.18285
Vietnam Helicopter Pilots Association -- Hillsborough,Hillsborough,North Carolina,United States,27278,North America,,,appointment,36.06973,-79.04776
