manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Saab,35,RF-35,AR-114,Draken,,fixed_wing,monoplane,military,recon,,Ex Royal Danish Air Force reconnaissance Draken displayed outdoors.,RF35; RF-35; Draken; c/n 35-1114,Flyhistorisk Museum Sola,on_display
Consolidated,PBY,5A,L-857,Catalina,,fixed_wing,monoplane,military,search_rescue,,Ex Royal Danish Air Force Catalina presented in Norwegian markings as 382 with code KK-A.,PBY5A; PBY-5A; Catalina; c/n 928; 382; KK-A,Flyhistorisk Museum Sola,on_display
Lockheed,T-33,A,DT-571,Shooting Star,,fixed_wing,monoplane,military,trainer,,Ex Royal Danish Air Force airframe displayed in Royal Norwegian Air Force markings with code DP-X.,T33; T-33A; Shooting Star; c/n 580-5903; DP-X; T33A,Flyhistorisk Museum Sola,on_display
Morane-Saulnier,MS.502,,540,Criquet,,fixed_wing,monoplane,military,utility,,French built Fieseler Storch derivative. Composite airframe displayed in German markings SB+UY as a Fi 156 C-2.,MS502; MS.502; Criquet; Fi 156; Fieseler Fi 156; Storch; SB+UY,Flyhistorisk Museum Sola,on_display
Arado,Ar 66,C-9,1034,,,fixed_wing,biplane,military,trainer,,Airframe only. Long term restoration. Wears code 6J+L.,Ar66; Ar 66C-9; 6J+L,Flyhistorisk Museum Sola,under_restoration
Arado,Ar 96,B-1,4246,,,fixed_wing,monoplane,military,trainer,,Luftwaffe advanced trainer wearing code PI+OT.,Ar96; Ar 96B-1; PI+OT,Flyhistorisk Museum Sola,on_display
Messerschmitt,Bf 109,G-1,14055,,,fixed_wing,monoplane,military,fighter,,Luftwaffe fighter under long term restoration. Wears code NI+BY.,Bf109; Bf109G-1; Me 109; NI+BY,Flyhistorisk Museum Sola,under_restoration
Heinkel,He 115,B,2398,,,fixed_wing,monoplane,military,recon,,Torpedo and reconnaissance floatplane of Kuestenfliegergruppe 906 that came down in Hafrsfjord on 28 December 1942. Raised on 3 June 2012 and under restoration. Wears code 8L+FH.,He115; He 115B; He.115B-C; 8L+FH,Flyhistorisk Museum Sola,under_restoration
Arado,Ar 196,,,,,fixed_wing,monoplane,military,recon,,Remains of one of the shipboard floatplanes carried by the German cruiser Blücher which was sunk in the Oslofjord on 9 April 1940.,Ar196; Ar 196,Flyhistorisk Museum Sola,on_display
Aero Commander,680,FL,LN-LMD,Grand Commander,,fixed_wing,monoplane,civilian,utility,,Norwegian civil twin used for aerial survey work.,AC680; AC.680FL; 680FL; Grand Commander; c/n 680FL-1401-56,Flyhistorisk Museum Sola,on_display
