name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Norsk Luftfartsmuseum,Bodø,Nordland,Norway,8004,Europe,Olav V gate 49,https://www.luftfartsmuseum.no/,public,67.27605,14.41344
Forsvarets flysamling Gardermoen,Gardermoen,Akershus,Norway,2060,Europe,Sørumsvegen 1,https://www.forsvarshistoriskmuseum.no/flysamlingen,public,60.18912,11.06900
Flyhistorisk Museum Sola,Sola,Rogaland,Norway,4050,Europe,Sola Prestegårdsveg 170,https://www.jaermuseet.no/flyhistorisk/,public,58.89769,5.63150
Norsk Teknisk Museum,Oslo,Oslo,Norway,0484,Europe,Kjelsåsveien 143,https://www.tekniskmuseum.no/,public,59.96674,10.78294
Forsvarsmuseet,Oslo,Oslo,Norway,0015,Europe,Akershus festning bygning 62,https://www.forsvarshistoriskmuseum.no/,public,59.90445,10.74074
Herdla Museum,Herdla,Vestland,Norway,5315,Europe,Herdlevegen 275,https://herdlamuseum.museumvest.no/,public,60.56696,4.95748
Grenselandmuseet,Kirkenes,Finnmark,Norway,9915,Europe,Førstevannslia,https://www.varangermuseum.no/,public,69.71686,30.04355
Veteranbilmuseet Førresfjorden,Førresfjorden,Rogaland,Norway,5563,Europe,,,appointment,59.42038,5.40193
Kjeller Flyhistoriske Forening,Kjeller,Akershus,Norway,2007,Europe,Storgata 100 Småflyhavna,https://www.kffkjeller.no/,appointment,59.97131,11.02844
Kjeller Flystasjon Preserved Aircraft -- Kjeller,Kjeller,Akershus,Norway,2027,Europe,,,restricted,59.97287,11.03919
Dakota Norway Collection,Sandefjord,Vestfold,Norway,3241,Europe,Sandefjord lufthavn Torp,https://dakotanorway.no/,appointment,59.19625,10.27681
Bodø Air Station Gate Guard -- Bodø,Bodø,Nordland,Norway,8006,Europe,,,public,67.27229,14.41527
Bodø Flystasjon Preserved Aircraft -- Bodø,Bodø,Nordland,Norway,8006,Europe,,,restricted,67.26493,14.36825
Norwegian Starfighter Group -- Bodø,Bodø,Nordland,Norway,8006,Europe,,http://starfighter.no/,restricted,67.27021,14.35244
Ørland Flystasjon Gate Guards -- Ørland,Ørland,Trøndelag,Norway,7130,Europe,,,restricted,63.69804,9.63400
Rygge Flystasjon Preserved Aircraft -- Rygge,Rygge,Østfold,Norway,1590,Europe,,,restricted,59.38625,10.77106
Sola Flystasjon Preserved Aircraft -- Sola,Sola,Rogaland,Norway,4055,Europe,,,restricted,58.88267,5.64554
Luftforsvarets skolesenter Kjevik -- Kjevik,Kjevik,Agder,Norway,4634,Europe,,,restricted,58.20675,8.08326
Kristiansand Lufthavn Kjevik Terminal Display -- Kristiansand,Kristiansand,Agder,Norway,4634,Europe,Kristiansand lufthavn Kjevik,,public,58.20348,8.07520
Sessvollmoen Leir Preserved Aircraft -- Sessvollmoen,Sessvollmoen,Akershus,Norway,2058,Europe,,,restricted,60.23814,11.14773
Kongsberg Starfighter Monument -- Kongsberg,Kongsberg,Buskerud,Norway,3616,Europe,Kirkegårdsveien,,public,59.65610,9.64215
Bardufoss Flystasjon Preserved Aircraft -- Bardufoss,Bardufoss,Troms,Norway,9325,Europe,,,restricted,69.05724,18.52834
Luftkrigsskolen Freedom Fighter Display -- Trondheim,Trondheim,Trøndelag,Norway,7004,Europe,Persaunet leir,,restricted,63.42997,10.43625
Risnes Sabre Display -- Risnes,Risnes,Vestland,Norway,5981,Europe,,,public,60.72239,4.92098
Åmli Cockpit Collection -- Åmli,Åmli,Agder,Norway,4865,Europe,,,appointment,58.69972,8.59972
Eastern Warbirds of Norway -- Skien,Skien,Telemark,Norway,3739,Europe,Skien lufthavn Geiteryggen,,appointment,59.18428,9.56543
