manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Martin Marietta,AGM-62,A,,,Walleye I,missile_rocket,,military,air_to_surface,,,,National Museum of the United States Air Force,on_display
Martin Marietta,AGM-12,C,,,Bullpup,missile_rocket,,military,air_to_surface,,,,National Museum of the United States Air Force,on_display
Martin,AGM-12,B,,,Bullpup,missile_rocket,,military,air_to_surface,,,,National Museum of the United States Air Force,on_display
Mikoyan-Gurevich,MiG-21,PF,,Fishbed,,fixed_wing,monoplane,military,fighter,,,Fishbed-D,National Museum of the United States Air Force,on_display
Mikoyan-Gurevich,MiG-17,F,,Fresco,,fixed_wing,monoplane,military,fighter,,,Fresco,National Museum of the United States Air Force,on_display
McDonnell,RF-101,C,56-166,Voodoo,,fixed_wing,monoplane,military,recon,,,,National Museum of the United States Air Force,on_display
McDonnell Douglas,F-4,C,,Phantom II,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Mikoyan-Gurevich,MiG-15,bis,2015357,Fagot,,fixed_wing,monoplane,military,fighter,,,Fagot,National Museum of the United States Air Force,on_display
Mitsubishi,A6M,2,,Zero,,fixed_wing,monoplane,military,fighter,,,Zeke;Reisen,National Museum of the United States Air Force,on_display
Messerschmitt,Me 262,A,,Schwalbe,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Messerschmitt,Me 163,B,191095,Komet,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Macchi,MC.200,,,Saetta,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Messerschmitt,Bf 109,G-10,,,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Martin,B-10,,,,,fixed_wing,monoplane,military,bomber,,,Martin 139W,National Museum of the United States Air Force,on_display
Martin,MB-2,,,,NBS-1,fixed_wing,biplane,military,bomber,2002,,NBS-1;reproduction built 2002 from original drawings,National Museum of the United States Air Force,on_display
McDonnell Douglas,F-4,G,,Phantom II,,fixed_wing,monoplane,military,electronic_warfare,,,Wild Weasel,National Museum of the United States Air Force,on_display
McDonnell Douglas,RF-4,C,,Phantom II,,fixed_wing,monoplane,military,recon,,,,National Museum of the United States Air Force,on_display
Martin,CGM-13,B,,Mace,,missile_rocket,,military,cruise,,,TM-76;MGM-13,National Museum of the United States Air Force,on_display
Martin,TM-61,A,,Matador,,missile_rocket,,military,cruise,,,B-61,National Museum of the United States Air Force,on_display
Martin Marietta,LGM-118,A,,Peacekeeper,,missile_rocket,,military,ballistic,,,MX,National Museum of the United States Air Force,on_display
Mikoyan-Gurevich,MiG-19,S,,Farmer,,fixed_wing,monoplane,military,fighter,,,Farmer,National Museum of the United States Air Force,on_display
McDonnell,F-101,B,58-325,Voodoo,,fixed_wing,monoplane,military,fighter,,,,National Museum of the United States Air Force,on_display
Martin,RB-57,D,53-3982,Canberra,,fixed_wing,monoplane,military,recon,,,,National Museum of the United States Air Force,on_display
Martin Marietta,HGM-25,A,,Titan I,,missile_rocket,,military,ballistic,,,SM-68A,National Museum of the United States Air Force,on_display
Martin Marietta,LGM-25,C,,Titan II,,missile_rocket,,military,ballistic,,,SM-68B,National Museum of the United States Air Force,on_display
McDonnell Douglas,F-15,A,,,Streak Eagle,fixed_wing,monoplane,military,test,,,,National Museum of the United States Air Force,on_display
