manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Spartan,Model 12,,NX21962,Executive,,fixed_wing,monoplane,civilian,private,1945,the sole example built and the last aircraft built by Spartan; first flight 26 May 1946; returned to Tulsa 26 September 2012; indoors,c/n 1,Tulsa Air and Space Museum,on_display
Grumman,F-14,A,161598,Tomcat,,fixed_wing,monoplane,military,fighter,,wears VF-41 Black Aces markings as AJ-101; the nose carries the names of Oklahoman F-14 aircrew,c/n 457; F14; F14A,Tulsa Air and Space Museum,on_display
McDonnell Douglas,MD-80,MD-82,N290AA,,,fixed_wing,monoplane,civilian,commercial_transport,,ex-American Airlines; the walk-through MD-80 Theater exhibit; outdoors,MD80,Tulsa Air and Space Museum,on_display
Rockwell,Ranger 2000,,N204NA,Ranger 2000,,fixed_wing,monoplane,civilian,trainer,,JPATS competition demonstrator built with Deutsche Aerospace; one of only two survivors; cockpit open to visitors; indoors,,Tulsa Air and Space Museum,on_display
Spartan,NP-1,,3691,,,fixed_wing,biplane,military,trainer,1941,completed in Tulsa 17 November 1941; restored from parts of several airframes; the only restored NP-1 on public display,BuNo 3691; c/n 47; NP1,Tulsa Air and Space Museum,on_display
Spartan,C2,C2-60,NC11908,,,fixed_wing,monoplane,civilian,private,1931,one of two survivors; owned by Spartan College of Aeronautics and Technology and on loan; suspended from the exhibit hall ceiling,c/n J-15,Tulsa Air and Space Museum,on_display
Fairchild Republic,A-10,,,Thunderbolt II,,fixed_wing,monoplane,military,ground_attack,,acquired in 2026 through the museum's Operation Warthog campaign; dedicated 16 April 2026; outdoor gateway guardian; serial not published,A10,Tulsa Air and Space Museum,under_restoration
Bell,UH-1,,,Iroquois,,rotary_wing,,military,utility,,sub-variant and serial not published by the museum,UH1,Tulsa Air and Space Museum,on_display
Grumman,Gulfstream II,,,,HALO-II,fixed_wing,monoplane,civilian,test,,High Altitude Learning Observatory II; high-altitude research and sensor testbed associated with Aeromet of Tulsa; registration not published,,Tulsa Air and Space Museum,on_display
North American Rockwell,Sabreliner,,,Sabreliner,,fixed_wing,monoplane,civilian,utility,,flown by airshow pilot Bob Hoover; on loan; series and registration not published,,Tulsa Air and Space Museum,on_display
Douglas,A-26,B,N9682C,Invader,Lady Liberty,fixed_wing,monoplane,military,bomber,1944,USAAF serial 41-39230; built August 1944; served with the Ninth Air Force in Europe; nose gear failure at Ponca City in November 2025 and declared not returnable to flight; arrived Tulsa 18 July 2026; reassembled in an American Airlines hangar pending a new museum hangar,41-39230; A26; A26B,Tulsa Air and Space Museum,in_storage
Aeromet,AURA,,N16AU,,,fixed_wing,monoplane,civilian,experimental,1990,registered to Tulsa Air and Space Museum Inc; not listed on the museum's current public collection page,c/n 002,Tulsa Air and Space Museum,in_storage
