name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Tillamook Air Museum,Tillamook,Oregon,United States,97141,North America,6030 Hangar Road,https://www.tillamookair.com,public,45.420391,-123.804835
Erickson Aircraft Collection,Madras,Oregon,United States,97741,North America,2408 NW Berg Drive,https://ericksoncollection.com,public,44.6675273,-121.1521307
Western Antique Aeroplane & Automobile Museum,Hood River,Oregon,United States,97031,North America,1600 Air Museum Road,https://www.waaamuseum.org,public,45.6750630,-121.5409463
Oregon Air and Space Museum,Eugene,Oregon,United States,97402,North America,90377 Boeing Drive,https://www.oasmuseum.org,public,44.1241627,-123.2149180
Oregon Aviation Historical Society & Museum,Cottage Grove,Oregon,United States,97424,North America,2475 Jim Wright Way,https://oregonaviation.org,public,43.8046210,-123.0323522
Classic Aircraft Aviation Museum,Hillsboro,Oregon,United States,97124,North America,Hillsboro Airport,https://www.classicaircraft.org,appointment,45.5418991,-122.9474300
Classic Aircraft Aviation Museum Corvallis Annex,Corvallis,Oregon,United States,97333,North America,Corvallis Municipal Airport,https://www.classicaircraft.org,appointment,44.4987513,-123.2868882
Oregon Military Museum,Clackamas,Oregon,United States,97015,North America,Camp Withycombe 15300 SE Minuteman Way,https://oregonmilitarymuseum.org,public,45.4126765,-122.5578099
Portland Air National Guard Base,Portland,Oregon,United States,97218,North America,Portland International Airport,https://www.142wg.ang.af.mil,restricted,45.5871326,-122.5927798
Kingsley Field Air National Guard Base,Klamath Falls,Oregon,United States,97603,North America,Kingsley Field,https://www.173fw.ang.af.mil,restricted,42.1547530,-121.7397904
Klamath Falls Veterans Memorial Park,Klamath Falls,Oregon,United States,97601,North America,Veterans Memorial Park,,public,42.2195567,-121.7880705
Baker City Municipal Airport Display,Baker City,Oregon,United States,97814,North America,Baker City Municipal Airport,,public,44.7748748,-117.8343840
Wadleigh Park Sabre Display Vale,Vale,Oregon,United States,97918,North America,Wadleigh Park,,public,43.9783935,-117.2418464
Ontario Municipal Airport Display,Ontario,Oregon,United States,97914,North America,Ontario Municipal Airport,,public,44.0178894,-117.0104050
Rogue Valley International-Medford Airport Display,Medford,Oregon,United States,97504,North America,Rogue Valley International-Medford Airport,,public,42.3727441,-122.8734383
Albany Municipal Airport Display,Albany,Oregon,United States,97322,North America,Albany Municipal Airport,,public,44.6368354,-123.0601507
Vietnam Era Veterans Memorial Canby,Canby,Oregon,United States,97013,North America,SR 99E,https://www.vietnameramemorial.org,public,45.2629088,-122.6925983
