manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Sukhoi,Su-22,,003,Fitter,,fixed_wing,monoplane,military,ground_attack,,"Ex-FAP Su-22 003, photographed preserved inside Las Palmas in 2012 and August 2023. Note a different Su-22 painted as 003 is mounted at Arequipa airport.",Fitter; Su-17; Su22; Su17,Base Aérea Las Palmas Heritage Collection,on_display
Sukhoi,Su-22,,174,Fitter,,fixed_wing,monoplane,military,ground_attack,,"Ex-FAP Su-22 174, photographed preserved on Las Palmas Air Base in August 2023.",Fitter; Su-17; Su22; Su17,Base Aérea Las Palmas Heritage Collection,on_display
Cessna,A-37,B,151,Dragonfly,,fixed_wing,monoplane,military,ground_attack,,"FAP A-37B 151, photographed at Las Palmas in 2012 and preserved there in August 2023.",Dragonfly; Cessna 318E; A37B; A37,Base Aérea Las Palmas Heritage Collection,on_display
Dassault,Mirage 5,P,194,,,fixed_wing,monoplane,military,fighter,,"FAP Mirage 5P 194, photographed at Las Palmas in 2012 and preserved there painted as 182 in August 2023.",Mirage 5P4; 182,Base Aérea Las Palmas Heritage Collection,on_display
Dassault,Mirage 5,P,198,,,fixed_wing,monoplane,military,fighter,,"FAP Mirage 5P (5P4) 198, photographed at Las Palmas in 2012 and preserved there in August 2023.",Mirage 5P4,Base Aérea Las Palmas Heritage Collection,on_display
English Electric,Canberra,B(I).12,203,,,fixed_wing,monoplane,military,bomber,,"FAP Canberra B(I)12 203, in the Las Palmas museum collection; photographed November 2018 and August 2023.",Canberra B(I)12; BI12,Base Aérea Las Palmas Heritage Collection,on_display
Beechcraft,65-A80,,900,Queen Air,,fixed_wing,monoplane,military,transport,,"FAP Queen Air A80 900 (c/n LD-260), displayed in the Callao Parque Temático FAP in 2014; photographed preserved at Las Palmas in August 2023.",Queen Air; Beech 65; c/n LD-260; A80; 65A80,Base Aérea Las Palmas Heritage Collection,on_display
Douglas,C-47,A,357,Skytrain,,fixed_wing,monoplane,military,transport,,"Douglas C-47A-30-DK c/n 13828, ex OB-R-1149; FAP 357 in the Las Palmas museum collection, photographed 2003, 2008, November 2014 and March 2024.",Skytrain; Dakota; DC-3; c/n 13828; OB-R-1149; C47A; C47; DC3,Base Aérea Las Palmas Heritage Collection,on_display
de Havilland Canada,DHC-5,D,322,Buffalo,,fixed_wing,monoplane,military,transport,,"FAP DHC-5D Buffalo 322 (c/n 45) in the Las Palmas museum collection; photographed 1997, 2008, November 2014 and March 2024.",Buffalo; c/n 45; DHC5D; DHC5,Base Aérea Las Palmas Heritage Collection,on_display
Douglas,A-26,C,227,Invader,,fixed_wing,monoplane,military,bomber,,FAP A-26C/B-26C Invader 227 in the Las Palmas museum collection; photographed May 2008 and 2012.,Invader; B-26C; B26C; A26C; A26,Base Aérea Las Palmas Heritage Collection,on_display
North American,NA-50,,251,Torito,,fixed_wing,monoplane,military,fighter,,"North American NA-50 fighter (the type flown by Cap. Quiñones in 1941) displayed as 251 / XXI-41-3; photographed 1997, 2010 and November 2014 in the museum collection. No NA-50 survived in original form, so this is believed to be a FAP-built full-scale reconstruction; treat as a replica pending on-site confirmation.",Torito; XXI-41-3; 3-41; NA50,Base Aérea Las Palmas Heritage Collection,on_display
Boeing-Stearman,N2S,5,126,Kaydet,,fixed_wing,biplane,military,trainer,,"Boeing-Stearman N2S-5 (E75) 126 in the museum collection, photographed May 2008. A Stearman is now also reported at the Castillo Rospigliosi site (serial 126 or 168); if 126 moved there this row is stale.",Kaydet; Model 75; PT-17; PT17,Base Aérea Las Palmas Heritage Collection,on_display
Bell,212,,612,Twin Huey,,rotary_wing,,military,utility,,"FAP Bell 212 612 (c/n 0612) in the museum collection, photographed May 2008 and December 2010.",Twin Huey; UH-1N; UH1N,Base Aérea Las Palmas Heritage Collection,on_display
Lockheed,18,56,N1846G,Lodestar,,fixed_wing,monoplane,civilian,transport,,"Lockheed 18-56 Lodestar, ex C-60A 42-56083 (c/n 18-2576), photographed in the museum collection in November 2003. Not seen in later photo sets; condition and presence unconfirmed.",Lodestar; C-60A; C60A; 42-56083; c/n 18-2576,Base Aérea Las Palmas Heritage Collection,on_display
Blériot,XI,,,,,fixed_wing,monoplane,military,experimental,,"Full-scale replica of the Blériot XI in which Jorge Chávez crossed the Alps in 1910, displayed outside the museum building at Las Palmas; photographed December 2010 wearing EBA 427 and mapped there on OpenStreetMap. Replica, not an original airframe.",Bleriot XI; EBA 427,Base Aérea Las Palmas Heritage Collection,on_display
Ansaldo,S.V.A.5,,,,,fixed_wing,biplane,military,recon,,"Replica Ansaldo SVA.5 (Italian mission of 1920s Peru), photographed unmarked in the museum collection in December 2010. Replica, not an original airframe.",SVA5; SVA.5,Base Aérea Las Palmas Heritage Collection,on_display
