manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Sukhoi,Su-22,M,163,Fitter,,fixed_wing,monoplane,military,ground_attack,,Ex-FAP Su-22M (Fitter-J). Photographed at Las Palmas in 2012 and on display in the Parque del Aire in July 2022 and August 2023.,Fitter-J; Su-22M-3; Su22M3; Su-17; Su22M; Su22; Su17,"Parque del Aire, Santiago de Surco",on_display
North American,F-86,F,180,Sabre,,fixed_wing,monoplane,military,fighter,,"FAP F-86F Sabre 180, formerly in the Museo Aeronáutico collection inside Las Palmas (photographed there 2008-2014); moved to the public Parque del Aire, where it was photographed in July 2022 and August 2023.",Sabre; F86F; F86,"Parque del Aire, Santiago de Surco",on_display
Dassault,Mirage 5,DP,199,,,fixed_wing,monoplane,military,fighter,,"Two-seat Mirage 5DP trainer 199 of the FAP, photographed at Las Palmas in 2012 and on display in the Parque del Aire in July 2022 and August 2023. Some photographers label it 5DPA2 / 5DP4.",Mirage 5DP; Mirage5DP; Mirage 5DP4,"Parque del Aire, Santiago de Surco",on_display
Harbin,Y-12,II,339,,,fixed_wing,monoplane,military,transport,,"FAP Harbin Y-12 (II) 339, photographed preserved at Las Palmas in November 2014 and on display in the Parque del Aire in 2022-2023.",Yunshuji Y-12; Y12II; Y12,"Parque del Aire, Santiago de Surco",on_display
Bede / FAP,BD-4,,401,Kuntur,,fixed_wing,monoplane,military,experimental,,"Prototype of the FAP-built Bede BD-4 derivative named Kuntur, serial 401. Photographed at Las Palmas in 2012 and in the Parque del Aire in 2022-2023.",Kuntur; Bede BD-4LSA; BD4LSA; BD4,"Parque del Aire, Santiago de Surco",on_display
Cessna,T-41,D,407,Mescalero,,fixed_wing,monoplane,military,trainer,,"FAP T-41D Mescalero 407, photographed on display in the Parque del Aire in July 2022 and August 2023.",Mescalero; Cessna 172; T41D; T41,"Parque del Aire, Santiago de Surco",on_display
Cessna,T-37,B,447,Tweet,,fixed_wing,monoplane,military,trainer,,"FAP T-37B 447, photographed at Las Palmas in November 2014 and on display in the Parque del Aire in 2022-2023.",Tweet; Tweety Bird; Cessna 318; T37B; T37,"Parque del Aire, Santiago de Surco",on_display
North American,T-6,C,450,Texan,,fixed_wing,monoplane,military,trainer,,"FAP T-6 Texan wearing 450, photographed preserved at Las Palmas in November 2014 (as a T-6A) and in the Parque del Aire in November 2023. One 1997 abpic caption calls '450' a P-47D, which is a misidentification; the airframe is a T-6.",Texan; Harvard; AT-6; AT6; T6C; T6,"Parque del Aire, Santiago de Surco",on_display
Lockheed,T-33,A,455,Shooting Star,,fixed_wing,monoplane,military,trainer,,"FAP T-33A 455, in the Las Palmas museum collection from at least 1994 to 2014; moved to the Parque del Aire where it was photographed in July 2022 and August 2023.",T-Bird; Shooting Star; T33A; T33,"Parque del Aire, Santiago de Surco",on_display
Aermacchi,MB-339,AP,477,,,fixed_wing,monoplane,military,trainer,,"FAP Aermacchi MB-339AP 477, photographed on display in the Parque del Aire in July 2022 and August 2023.",MB339AP; MB-339A; MB339A; MB339,"Parque del Aire, Santiago de Surco",on_display
Hawker,Hunter,F.52,634,,,fixed_wing,monoplane,military,fighter,,"Ex-FAP Hunter F.52 wearing 634, photographed on display in the Parque del Aire in July 2022 and November 2023. FAP Hunters were ex-RAF F.4s; identity of the individual airframe not verified.",Hunter F52; Hunter Mk.52,"Parque del Aire, Santiago de Surco",on_display
Hawker,Hunter,F.52,142,,,fixed_wing,monoplane,military,fighter,,"Second Hunter in the park, wearing 142; photographed August 2023. The museum's long-standing Hunter was 137 (photographed at Las Palmas 1994-2014); whether 142 is that airframe repainted is unconfirmed.",Hunter F52; Hunter Mk.52,"Parque del Aire, Santiago de Surco",on_display
Bell,212,,660,Twin Huey,,rotary_wing,,military,utility,,"FAP Bell 212 660, photographed preserved at Las Palmas in November 2014 and in the Parque del Aire in 2022-2023.",Twin Huey; UH-1N; UH1N,"Parque del Aire, Santiago de Surco",on_display
Mil,Mi-8,T,,Hip,,rotary_wing,,military,utility,,"FAP Mi-8T on display, unmarked in 2023; photographers quote it as 633 or 678. 678 was displayed in the Callao Parque Temático FAP in 2014 and 633 was photographed at Callao the same year, so the true identity is unresolved and left blank.",Hip-C; Mi-8T; 633; 678; Mi8T; Mi8,"Parque del Aire, Santiago de Surco",on_display
Beechcraft,65-A80,,743,Queen Air,,fixed_wing,monoplane,military,transport,,"FAP Queen Air A80, true serial 743, restored and displayed painted as 729; photographed in the Parque del Aire in July 2022 and August 2023.",Queen Air; Beech 65; 729; A80; 65A80,"Parque del Aire, Santiago de Surco",on_display
Cessna,A-37,B,,Dragonfly,,fixed_wing,monoplane,military,ground_attack,,An A-37B Dragonfly is mapped in the Parque del Aire (OpenStreetMap memorial node) but no serial has been read from a dated photograph; left blank.,Dragonfly; Cessna 318E; A37B; A37,"Parque del Aire, Santiago de Surco",on_display
