manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Kamov,Ka-25,Ts,101,Hormone,,rotary_wing,,military,recon,,"Targeting version Ka-25Ts, works number 89210104, bort ""101 yellow"".",Ka25; Ka25Ts; c/n 89210104,Central Museum of the Armed Forces,on_display
Sukhoi,Su-15,TM,39,Flagon,,fixed_wing,monoplane,military,fighter,1974,"Works number 1215309, bort ""39 red"". Year from the russianplanes.net Su-15 type register.",Su15; Su15TM; c/n 1215309,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-23,S,71,Flogger,,fixed_wing,monoplane,military,fighter,,"Early production MiG-23S, works number 220001012, bort ""71 red"".",MiG23; MiG23S; c/n 220001012,Central Museum of the Armed Forces,on_display
Sukhoi,Su-24,MR,26,Fencer,,fixed_wing,monoplane,military,recon,,"First prototype of the reconnaissance Su-24MR, also known as T6M-26 or T6MR-26; works number 0115305, bort ""26 red"".",Su24; Su24MR; c/n 0115305; T6M-26; T6M26,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-21,SM,70,Fishbed,,fixed_wing,monoplane,military,fighter,,"Works number 150ST22, bort ""70 red"".",MiG21; MiG21SM; c/n 150ST22,Central Museum of the Armed Forces,on_display
Sukhoi,Su-27,,,Flanker,,fixed_wing,monoplane,military,fighter,,"Works number 36911031003, bort ""27 red"". Wears bort number 27; recorded without a tail number because another airframe of this type in the database already carries it.",Su27; c/n 36911031003; 27,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-21,F,,Fishbed,,fixed_wing,monoplane,military,fighter,,"Works number 72210602, bort ""01 red"". Wears bort number 01; recorded without a tail number because another airframe of this type in the database already carries it.",MiG21; MiG21F; c/n 72210602; 01,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-25,PD,49,Foxbat,,fixed_wing,monoplane,military,fighter,,"Works number 84008895, bort ""49 red"".",MiG25; MiG25PD; c/n 84008895,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-17,,,Fresco,,fixed_wing,monoplane,military,fighter,,"Works number 0515347, bort ""25 red"". kpopov.ru captions this aircraft with works number 54211860, which is the number of the MiG-17 formerly at the Zadorozhny museum; that caption is treated here as an error and the russianplanes.net number is used. Wears bort number 25; recorded without a tail number because another airframe of this type in the database already carries it.",MiG17; c/n 0515347; 25,Central Museum of the Armed Forces,on_display
Aero,L-29,,01,Maya,,fixed_wing,monoplane,military,trainer,,"Works number 491262, bort ""01 red"".",L29; c/n 491262,Central Museum of the Armed Forces,on_display
Yakovlev,Yak-50,,01,,,fixed_wing,monoplane,military,trainer,,"Works number 811908, bort ""01 yellow"".",Yak50; c/n 811908,Central Museum of the Armed Forces,on_display
Sukhoi,Su-25,,22,Frogfoot,,fixed_wing,monoplane,military,ground_attack,,"Works number 25508107080, bort ""22 red"".",Su25; c/n 25508107080,Central Museum of the Armed Forces,on_display
Mikoyan-Gurevich,MiG-29,,02,Fulcrum,,fixed_wing,monoplane,military,fighter,,"Works number 2960515125, bort ""02 red"".",MiG29; c/n 2960515125,Central Museum of the Armed Forces,on_display
Ilyushin,Il-28,,16,Beagle,,fixed_wing,monoplane,military,bomber,,"Works number 46605214, bort ""16 red"".",Il28; c/n 46605214,Central Museum of the Armed Forces,on_display
Mil,Mi-24,A,07,Hind,,rotary_wing,,military,ground_attack,,"Works number given by kpopov.ru as probably 3202109; bort ""07 red"".",Mi24; Mi24A; c/n 3202109,Central Museum of the Armed Forces,on_display
Sukhoi,Su-7,B,65,Fitter,,fixed_wing,monoplane,military,ground_attack,,"Works number 1701, bort ""65 red"".",Su7; Su7B; c/n 1701,Central Museum of the Armed Forces,on_display
Mil,Mi-4,AV,05,Hound,,rotary_wing,,military,ground_attack,,"Armed Mi-4AV, works number 0860, bort ""05 red"".",Mi4; Mi4AV; c/n 0860,Central Museum of the Armed Forces,on_display
Mil,Mi-2,,51,Hoplite,,rotary_wing,,military,utility,,"Works number 545005106, bort ""51 red"".",Mi2; c/n 545005106,Central Museum of the Armed Forces,on_display
