manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Yakovlev,Yak-40,,RA-87781,Codling,,fixed_wing,monoplane,civilian,commercial_transport,,Instructional airframe on the college training ground rather than a curated display. c/n 9040614.,Yak40; c/n 9040614; Codling,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Antonov,An-2,,CCCP-40732,Colt,,fixed_wing,biplane,civilian,utility,,Instructional airframe on the college training ground rather than a curated display. c/n 1G172-04.,An2; c/n 1G172-04; Colt,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Tupolev,Tu-154,B,RA-85015,Careless,,fixed_wing,monoplane,civilian,commercial_transport,,Instructional airframe on the college training ground rather than a curated display. c/n 71A015.,Tu154; Tu154B; c/n 71A015; Careless,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Mil,Mi-8,,RA-25755,Hip,,rotary_wing,,civilian,transport,,Instructional airframe on the college training ground rather than a curated display. c/n 4455.,Mi8; c/n 4455; Hip,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Ilyushin,Il-76,,CCCP-76502,Candid,,fixed_wing,monoplane,civilian,freighter,,Instructional airframe on the college training ground rather than a curated display. c/n 063407206.,Il76; c/n 063407206; Candid,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Tupolev,Tu-154,B,RA-85064,Careless,,fixed_wing,monoplane,civilian,commercial_transport,,Instructional airframe on the college training ground rather than a curated display. c/n 74A064.,Tu154; Tu154B; c/n 74A064; Careless,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Tupolev,Tu-154,S,RA-85081,Careless,,fixed_wing,monoplane,civilian,freighter,,Instructional airframe on the college training ground rather than a curated display. c/n 74A081.,Tu154; Tu154S; c/n 74A081; Careless,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Antonov,An-24,,RA-46765,Coke,,fixed_wing,monoplane,civilian,commercial_transport,,Instructional airframe on the college training ground rather than a curated display. c/n 47301302.,An24; c/n 47301302; Coke,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Antonov,An-26,,RA-26612,Curl,,fixed_wing,monoplane,civilian,transport,,Instructional airframe on the college training ground rather than a curated display. c/n 4904.,An26; c/n 4904; Curl,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Antonov,An-24,,RA-47765,Coke,,fixed_wing,monoplane,civilian,commercial_transport,,Instructional airframe on the college training ground rather than a curated display. c/n 79901309.,An24; c/n 79901309; Coke,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Mil,Mi-8,,RA-25897,Hip,,rotary_wing,,civilian,transport,,Instructional airframe on the college training ground rather than a curated display. c/n 5170.,Mi8; c/n 5170; Hip,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
Mil,Mi-8,,RA-24623,Hip,,rotary_wing,,civilian,transport,,Instructional airframe on the college training ground rather than a curated display.,Mi8; Hip,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
LET,L-410,UVP,RA-67165,Turbolet,,fixed_wing,monoplane,civilian,transport,,Instructional airframe on the college training ground rather than a curated display. c/n 790201.,L410; L410UVP; c/n 790201; Turbolet,Omsk Flight Technical College of Civil Aviation Aircraft Park,in_storage
