manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Mil,Mi-26,,80,Halo,,rotary_wing,,military,transport,,"Works number 34001212081, bort ""80 yellow"". Photographed in the aviation cluster in August 2019.",Mi26; c/n 34001212081,Patriot Park Museum Complex,on_display
Sukhoi,Su-25,T,11,Frogfoot,,fixed_wing,monoplane,military,ground_attack,,"Works number 25508601008. Photographed as ""81 red"" in 2019; russianplanes.net now records it as ""11 white"" after repainting.",Su25; Su25T; c/n 25508601008; 81 red,Patriot Park Museum Complex,on_display
Mil,Mi-8,PP,01,Hip,,rotary_wing,,military,electronic_warfare,,"Electronic-warfare Mi-8PP (SMV/PPA), works number 9787517, bort ""01 yellow"".",Mi8; Mi8PP; c/n 9787517,Patriot Park Museum Complex,on_display
Mil,Mi-24,V,,Hind,,rotary_wing,,military,ground_attack,,"Works number 3532422421276; no bort number recorded. Photographed in the cluster as ""59 red"" in August 2019 - the identity of that airframe against this card is not settled.",Mi24; Mi24V; c/n 3532422421276,Patriot Park Museum Complex,on_display
Mil,Mi-8,T,10,Hip,,rotary_wing,,military,transport,,"Works number 4249, bort ""10 yellow"".",Mi8; Mi8T; c/n 4249,Patriot Park Museum Complex,on_display
Sukhoi,Su-15,,71,Flagon,,fixed_wing,monoplane,military,fighter,1968,"Works number 0815331. Bort ""71 blue"", photographed in the park in 2019 and again in September 2021. Year from the russianplanes.net Su-15 type register.",Su15; c/n 0815331,Patriot Park Museum Complex,on_display
Mikoyan-Gurevich,MiG-25,PU,53,Foxbat,,fixed_wing,monoplane,military,trainer,,"Works number 22018174, bort ""53 blue"".",MiG25; MiG25PU; c/n 22018174,Patriot Park Museum Complex,on_display
Mikoyan-Gurevich,MiG-31,,19,Foxhound,,fixed_wing,monoplane,military,fighter,,"Works number 69700126715. Restored by volunteers at Kubinka; photographed as ""15 red"" in August 2019, now recorded as ""19 red"".",MiG31; c/n 69700126715; 15 red,Patriot Park Museum Complex,on_display
Kamov,Ka-50,,,Hokum,,rotary_wing,,military,ground_attack,,Works number 3538054602126; no bort number recorded.,Ka50; c/n 3538054602126,Patriot Park Museum Complex,on_display
Mikoyan-Gurevich,MiG-21,UM,,Mongol,,fixed_wing,monoplane,military,trainer,,"Works number 516999212. Flown to Kubinka inside an Il-76 from Krasnodar in May 2015, painted at the 121st Aircraft Repair Plant and given bort ""106 red"", photographed as such in August 2019; repainted to ""21 red"" by September 2021. Wears bort number 21; recorded without a tail number because another airframe of this type in the database already carries it.",MiG21; MiG21UM; c/n 516999212; 106 red; 21,Patriot Park Museum Complex,on_display
Mikoyan-Gurevich,MiG-23,UB,,Flogger,,fixed_wing,monoplane,military,trainer,1980,"Built at Irkutsk plant No.39 on 3 April 1980; works number 0903716, 37th production series, 16th aircraft. Wore ""17 red"" before the museum, then ""19 red"" in August 2019, and now ""15 red"". Wears bort number 15; recorded without a tail number because another airframe of this type in the database already carries it.",MiG23; MiG23UB; c/n 0903716; 19 red; 15,Patriot Park Museum Complex,on_display
Sukhoi,Su-9,,52,Fishpot,,fixed_wing,monoplane,military,fighter,,"Works number 100000510. Was at the Savasleyka air base museum wearing ""07 blue"" in spring 2014, still ""07 blue"" in August 2019; russianplanes.net now records ""52 blue"".",Su9; c/n 100000510; 07 blue,Patriot Park Museum Complex,on_display
