manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Tupolev,Tu-144,S,CCCP-77108,Charger,,fixed_wing,monoplane,civilian,commercial_transport,,"One of the small number of surviving Tu-144s and the headline airframe of the collection. Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 04-2.",Tu144; Tu144S,Samara University Aviation and Cosmonautics Collection,in_storage
Tupolev,Tu-154,,CCCP-85003,Careless,,fixed_wing,monoplane,civilian,commercial_transport,,"Third airframe of the type. Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 69M003.",Tu154; c/n 69M003,Samara University Aviation and Cosmonautics Collection,in_storage
Tupolev,Tu-154,M,RA-85069,Careless,,fixed_wing,monoplane,civilian,commercial_transport,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 90A863.",Tu154; Tu154M; c/n 90A863,Samara University Aviation and Cosmonautics Collection,in_storage
Tupolev,Tu-104,E,CCCP-42441,Camel,,fixed_wing,monoplane,civilian,commercial_transport,,"Uprated Tu-104E development airframe. Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 920903.",Tu104; Tu104E; c/n 920903,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-12,B,CCCP-11339,Cub,,fixed_wing,monoplane,civilian,freighter,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 2400505.",An12; An12B; c/n 2400505,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-14,,CCCP-81556,Clod,,fixed_wing,monoplane,civilian,utility,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 600704.",An14; c/n 600704,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-2,P,CCCP-70774,Colt,,fixed_wing,biplane,civilian,utility,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away.",An2; An2P,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-2,TP,CCCP-96218,Colt,,fixed_wing,biplane,civilian,utility,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 1G72-02.",An2; An2TP,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-2,TP,CCCP-41301,Colt,,fixed_wing,biplane,civilian,utility,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away.",An2; An2TP,Samara University Aviation and Cosmonautics Collection,in_storage
Antonov,An-2,R,CCCP-70510,Colt,,fixed_wing,biplane,civilian,utility,,"Teaching airframe park of Samara National Research University at Smyshlyaevka, visited by arrangement. Every airframe is recorded by russianplanes.net (museum 340) as stored rather than displayed; several have been scrapped or moved away. Construction number 1G144-21.",An2; An2R,Samara University Aviation and Cosmonautics Collection,in_storage
