name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Far Eastern Aviation Museum,Arsenyev,Primorsky Krai,Russia,692335,Asia,ulitsa Novikova 34,https://dvmuseum.ru/,public,44.1507,133.2671
Progress Aircraft Plant Museum,Arsenyev,Primorsky Krai,Russia,692335,Asia,ulitsa 25 let Primorya 1,,appointment,44.1521,133.2580
Far Eastern Aerospace Museum,Ivanovka,Amur Oblast,Russia,676930,Asia,,,public,50.3791,128.0150
Museum of Aviation and Air Defence,Khabarovsk,Khabarovsk Krai,Russia,680000,Asia,,,appointment,48.4696,135.1374
Pacific Fleet Naval Aviation Museum,Artyom,Primorsky Krai,Russia,692760,Asia,Knevichi,,appointment,43.3810,132.1700
Fokino Naval Aviation Museum,Fokino,Primorsky Krai,Russia,692880,Asia,,,appointment,42.9327,132.4208
Irkutsk Aviation Plant Museum,Irkutsk,Irkutsk Oblast,Russia,664020,Asia,ulitsa Novatorov 3,,appointment,52.3532,104.2091
Komsomolsk-on-Amur Aircraft Plant Memorial Aircraft,Komsomolsk-on-Amur,Khabarovsk Krai,Russia,681018,Asia,ulitsa Sovetskaya 1,,restricted,50.5963,137.0782
Chkalov Aircraft Plant Memorial Aircraft,Novosibirsk,Novosibirsk Oblast,Russia,630051,Asia,ulitsa Polzunova 15,,restricted,55.0664,82.9838
Museum of the Air Force and Air Defence Army Headquarters,Novosibirsk,Novosibirsk Oblast,Russia,630000,Asia,,,appointment,55.0272,82.9733
Gallery of Time Museum Park,Novosibirsk,Novosibirsk Oblast,Russia,630126,Asia,1-e Mochishchenskoye shosse 1/5,,public,55.0844,82.8922
"Patriot Park, Novosibirsk Technical College",Novosibirsk,Novosibirsk Oblast,Russia,630032,Asia,,,public,54.9977,82.8550
Mochishche Aerodrome Aviation Museum,Mochishche,Novosibirsk Oblast,Russia,630525,Asia,ulitsa Aviatorov 2,https://aeromochische.ru/,appointment,55.1715,83.1410
Barnaul Aviation Sports Club Museum,Barnaul,Altai Krai,Russia,656000,Asia,,,appointment,53.2513,83.9588
"Kuzbass Museum-Polygon, Tanay Aerodrome",Zhuravlyovo,Kemerovo Oblast,Russia,652383,Asia,Tanay aerodrome,,public,54.7537,85.1136
Tomsk Airport Aviation Museum,Tomsk,Tomsk Oblast,Russia,634510,Asia,Bogashevo airport,,public,56.3909,85.2111
Omsk Flight Technical College of Civil Aviation Aircraft Park,Omsk,Omsk Oblast,Russia,644103,Asia,,,appointment,54.9558,73.3278
Zelenogorsk Armed Forces Museum,Zelenogorsk,Krasnoyarsk Krai,Russia,663690,Asia,,,public,56.1040,94.5786
Raduga Aviation Museum,Chita,Zabaykalsky Krai,Russia,672000,Asia,Romanovsky trakt 46,,public,52.0898,113.4482
Podvig Military-Patriotic Club Display,Magadan,Magadan Oblast,Russia,685000,Asia,,,public,59.5700,150.8086
Museum of Polar Aviation,Salekhard,Yamalo-Nenets Autonomous Okrug,Russia,629008,Asia,,,public,66.5861,66.5717
Berezovo Aviation Museum,Berezovo,Khanty-Mansi Autonomous Okrug,Russia,628140,Asia,,,public,63.9276,65.0464
Kogalym Military Equipment Park,Kogalym,Khanty-Mansi Autonomous Okrug,Russia,628481,Asia,,,public,62.2572,74.4794
Nizhnevartovsk Alley of Aviation Honour,Nizhnevartovsk,Khanty-Mansi Autonomous Okrug,Russia,628600,Asia,,,public,60.9504,76.5011
Museum of Aviation of the Republic of Sakha,Yakutsk,Sakha Republic,Russia,677014,Asia,ulitsa Gagarina 8,,public,62.0862,129.7440
Kamchatka Civil Aviation Museum,Yelizovo,Kamchatka Krai,Russia,684000,Asia,,,public,53.1693,158.4238
Ukrainka Garrison Aviation Museum,Seryshevo,Amur Oblast,Russia,676355,Asia,Ukrainka air base,,restricted,51.1642,128.4424
Primorskoye Koltso Sport-Technical Park Aircraft Display,Artyom,Primorsky Krai,Russia,692760,Asia,,,public,43.3573,132.0840
