name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Taganrog Aviation Museum,Taganrog,Rostov Oblast,Russia,347916,Europe,"Ulitsa Tsiolkovskogo 41, 325th Aircraft Repair Plant, Taganrog-Tsentralny airfield",,appointment,47.2405,38.8520
Aksay Military History Museum,Aksay,Rostov Oblast,Russia,346720,Europe,Ulitsa Gulyaeva 110 (military equipment site at Mukhina Balka),https://www.aksay-museum.ru/,public,47.2715,39.8915
Rostvertol Helicopter Plant Museum,Rostov-on-Don,Rostov Oblast,Russia,,Europe,"Ulitsa Novatorov 5, Rostvertol plant",,appointment,47.2548,39.7305
Patriot Park Kamensk-Shakhtinsky,Kamensk-Shakhtinsky,Rostov Oblast,Russia,,Europe,"Narodnaya ulitsa 39, beside the M-4 Don highway",,public,48.2984,40.3003
Chislov Aero Club Aviation Museum,Srednyaya Akhtuba,Volgograd Oblast,Russia,,Europe,Promyshlennaya ulitsa 15,https://u-yastreb.ru/,appointment,48.7257,44.8652
Kamyshin Victory Park Military Equipment Display,Kamyshin,Volgograd Oblast,Russia,,Europe,"Krasnaya ulitsa 13, Park Pobedy",,public,50.0862,45.4059
Akhtubinsk Flight Test Centre Aviation Museum,Akhtubinsk,Astrakhan Oblast,Russia,,Europe,"Pereulok Kochubeya, 929th State Flight Test Centre",,restricted,48.2925,46.2011
Military Hill Open-Air Museum,Temryuk,Krasnodar Krai,Russia,,Europe,"Ulitsa Rozy Lyuksemburg, Voennaya Gorka",,public,45.2780,37.3859
Anapa Military Equipment Park,Anapa,Krasnodar Krai,Russia,,Europe,"Simferopolskoye shosse, Skver voennoy tekhniki",,public,44.9229,37.3251
Bakhchivandzhi Memorial Park,Brinkovskaya,Krasnodar Krai,Russia,,Europe,"Proletarskaya ulitsa, Park imeni Bakhchivandzhi",,public,46.0345,38.5856
ARZ-411 Aviation Repair Plant Museum,Mineralnye Vody,Stavropol Krai,Russia,357202,Europe,Ulitsa Knyshevskogo 71A,http://www.avia411.ru,appointment,44.2231,43.1081
Patriot Park Derbent,Derbent,Republic of Dagestan,Russia,,Europe,"Ulitsa Ostrovskogo, Patriot Park (Caspian shore)",,public,41.9397,48.3768
Patriot Park Sevastopol,Sevastopol,Sevastopol,Ukraine,,Europe,"Planernaya ulitsa, former Yuzhny airfield, Karantinnaya Balka",,public,44.5780,33.4963
Patriot Park Belbek,Belbek,Sevastopol,Ukraine,,Europe,"Fyodorovskaya ulitsa 51, Belbek",,public,44.6705,33.5505
Yeysk Naval Aviation Combat Training Centre,Yeysk,Krasnodar Krai,Russia,,Europe,"Ulitsa Shmidta, 859th Combat Training and Aircrew Conversion Centre",https://859cbp.mil.ru/Muzej,restricted,46.6995,38.2478
Mikhailovskaya Battery Military History Museum,Sevastopol,Sevastopol,Ukraine,,Europe,"Gromova ulitsa 35/1, Northern Side",https://muzey-sevastopol.com/,public,44.6290,33.5250
Battle Glory of the Urals Museum of Military Equipment,Verkhnyaya Pyshma,Sverdlovsk Oblast,Russia,624091,Asia,"Ulitsa Aleksandra Kozitsyna 2, UGMK Museum Complex",https://mkugmk.ru/,public,56.9613,60.5832
Yekaterinburg Air Force and Air Defence Headquarters Aircraft Display,Yekaterinburg,Sverdlovsk Oblast,Russia,,Asia,Pervomayskaya ulitsa 94,,restricted,56.8461,60.6520
Kurgan Aviation Museum,Kurgan,Kurgan Oblast,Russia,640015,Asia,"Ulitsa Gagarina 41A, beside Kurgan airport",https://airkurgan.ru/,public,55.4613,65.4109
Orenburg Civil Aviation Museum,Orenburg,Orenburg Oblast,Russia,,Europe,"Ulitsa Tsentralnaya 1, Orenburg Tsentralny airport",http://www.orenairport.ru/aeroport/vystavka-vozdushnykh-sudov/,public,51.7877,55.4578
Frunze Garden Aviation Display,Orenburg,Orenburg Oblast,Russia,,Europe,"Ulitsa Kirova 4, Gorodskoy sad imeni Frunze",,public,51.7610,55.0920
Ufa Aviation Technical University Training Ground,Ufa,Republic of Bashkortostan,Russia,,Europe,"Ulitsa Aeroport, UUATU training area",,restricted,54.5773,55.9004
Victory Garden Military Equipment Museum,Chelyabinsk,Chelyabinsk Oblast,Russia,,Asia,"Ulitsa Bratyev Kashirinykh, Sad Pobedy",,public,55.1734,61.3837
Chelyabinsk Air Force Navigator School Museum and Display Park,Chelyabinsk,Chelyabinsk Oblast,Russia,,Asia,Voenny gorodok 11,,restricted,55.2475,61.3078
Troitsk Aviation Technical College Training Park,Troitsk,Chelyabinsk Oblast,Russia,,Asia,"Highway 75K-023, Troitsk Aviation Technical College",,restricted,54.1238,61.6897
Vertolyot Aviation Park,Kumertau,Republic of Bashkortostan,Russia,,Europe,"Karagayevskaya ulitsa, Aviapark Vertolyot",,appointment,52.7862,55.7743
