manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Tupolev,Tu-134,AK,RA-65961,Crusty,,fixed_wing,monoplane,civilian,transport,1973,"Built 15 May 1973. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",Tu134; Tu134AK; c/n 3351807,Ufa Aviation Technical University Training Ground,in_storage
Sukhoi,Su-27,,24,Flanker,,fixed_wing,monoplane,military,fighter,,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",Su27; c/n 36911019205,Ufa Aviation Technical University Training Ground,in_storage
Tupolev,Tu-141,,,Strizh,,fixed_wing,monoplane,military,drone,,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",Tu141,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-29,9-13,,Fulcrum,,fixed_wing,monoplane,military,fighter,,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 14; recorded without a tail number because another airframe of this type in the database already carries it.",MiG29; MiG29913; c/n 2960714317; 14,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-21,bis,,Fishbed,,fixed_wing,monoplane,military,fighter,1973,"MiG-21bis type 75. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 07; recorded without a tail number because another airframe of this type in the database already carries it.",MiG21; MiG21bis; c/n 75006247; 07,Ufa Aviation Technical University Training Ground,in_storage
Mil,Mi-8,,79,Hip,,rotary_wing,,military,transport,,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",Mi8,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-23,,93,Flogger,,fixed_wing,monoplane,military,fighter,1973,"MiG-23 of the 1971 model (izdeliye 23-11), built 15 January 1973. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",MiG23; c/n 021000805,Ufa Aviation Technical University Training Ground,in_storage
Mil,Mi-8,,,Hip,,rotary_wing,,military,transport,1974,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 38; recorded without a tail number because another airframe of this type in the database already carries it.",Mi8; c/n 4347; 38,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-21,bis,149,Fishbed,,fixed_wing,monoplane,military,fighter,,"MiG-21bis type 75. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",MiG21; MiG21bis,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-21,bis,,Fishbed,,fixed_wing,monoplane,military,fighter,1972,"MiG-21bis type 75. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 31; recorded without a tail number because another airframe of this type in the database already carries it.",MiG21; MiG21bis; c/n 75001060; 31,Ufa Aviation Technical University Training Ground,in_storage
Mil,Mi-2,,132,Hoplite,,rotary_wing,,military,utility,1977,"Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",Mi2; c/n 545425117,Ufa Aviation Technical University Training Ground,in_storage
Mikoyan-Gurevich,MiG-23,,115,Flogger,,fixed_wing,monoplane,military,fighter,1971,"MiG-23 of the 1971 model (izdeliye 23-11). Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026.",MiG23; c/n 021001410,Ufa Aviation Technical University Training Ground,in_storage
Sukhoi,Su-34,,,Fullback,,fixed_wing,monoplane,military,bomber,,"Struck off charge on expiry of airframe life but kept complete and in ground-running condition as a teaching airframe. Ground instructional airframe on the training area of the Ufa University of Science and Technology (former Ufa State Aviation Technical University), near Ufa airport; russianplanes records these as stored airframes and trainers rather than monuments. russianplanes.net monument and registry cards, checked September 2026. Wears bort number 01; recorded without a tail number because another airframe of this type in the database already carries it.",Su34; c/n 4160664601306; 01,Ufa Aviation Technical University Training Ground,in_storage
