name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
American Legion Post 109 and Cherokee County Veterans Museum -- Gaffney,Gaffney,South Carolina,United States,29340,North America,200 South Logan Street,,public,35.07275,-81.65340
American Legion Post 48 -- Chesnee,Chesnee,South Carolina,United States,29323,North America,,,public,35.13105,-81.86409
Celebrate Freedom Foundation,West Columbia,South Carolina,United States,29170,North America,2533 B Airport Boulevard,https://www.gocff.org,appointment,,
City of Hartsville T-33 -- Hartsville,Hartsville,South Carolina,United States,29550,North America,Hartsville Regional Airport,,public,34.40985,-80.11409
Cleveland Park -- Greenville,Greenville,South Carolina,United States,29601,North America,,,public,34.84143,-82.39432
Darlington County Airport T-33 -- Darlington,Darlington,South Carolina,United States,29532,North America,,,public,34.44396,-79.88657
Greer Area Veterans Memorial -- Greer,Greer,South Carolina,United States,29651,North America,16th Street,,public,34.93179,-82.22230
Joint Base Lindsey Graham Air Park,North Charleston,South Carolina,United States,29404,North America,,https://www.jbcharleston.jb.mil/,restricted,32.91337,-80.05485
Kershaw County Phantom -- Camden,Camden,South Carolina,United States,29020,North America,Woodward Field,,public,34.28058,-80.56276
Kimberly Hampton Memorial -- Easley,Easley,South Carolina,United States,29640,North America,Biltmore Road,,public,34.82446,-82.58012
Marine Corps Air Station Beaufort Air Park -- Beaufort,Beaufort,South Carolina,United States,29904,North America,,,restricted,32.45855,-80.73313
Marvin McCant T-33 -- Saint Matthews,Saint Matthews,South Carolina,United States,29135,North America,,,public,33.67324,-80.88402
Mayday Golf -- North Myrtle Beach,North Myrtle Beach,South Carolina,United States,29582,North America,,,public,33.83496,-78.67277
McEntire Joint National Guard Base Memorial Park -- Eastover,Eastover,South Carolina,United States,29044,North America,,,restricted,33.91725,-80.80545
Patriots Point Naval and Maritime Museum,Mount Pleasant,South Carolina,United States,29464,North America,40 Patriots Point Road,https://www.patriotspoint.org,public,32.790475,-79.908344
Runaway Bay Miniature Golf -- Garden City,Garden City,South Carolina,United States,29576,North America,1800 Business 17 South,,public,33.59964,-78.99526
Shaw AFB Memorial Park -- Sumter,Sumter,South Carolina,United States,29152,North America,,https://www.shaw.af.mil/,restricted,33.95970,-80.49050
Shaw AFB Ninth Air Force Headquarters -- Sumter,Sumter,South Carolina,United States,29152,North America,,,restricted,33.97545,-80.48090
South Carolina Historic Aviation Foundation,Columbia,South Carolina,United States,29205,North America,Hangar Y-1 1400 Jim Hamilton Boulevard,https://schistoricaviation.org,appointment,,
South Carolina Military Museum,Columbia,South Carolina,United States,29201,North America,1 National Guard Road,https://scguard.ng.mil,public,33.969089,-81.017303
South Carolina State Museum,Columbia,South Carolina,United States,29201,North America,301 Gervais Street,https://scmuseum.org,public,33.997208,-81.048203
The Citadel Summerall Field -- Charleston,Charleston,South Carolina,United States,29409,North America,171 Moultrie Street,,public,32.79833,-79.96142
Trident Technical College Berkeley Campus -- Moncks Corner,Moncks Corner,South Carolina,United States,29461,North America,,,restricted,33.17110,-80.04640
U.S. Army Basic Combat Training Museum,Fort Jackson,South Carolina,United States,29207,North America,Jackson Boulevard,,restricted,34.01204,-80.94409
Vietnam Veterans of America Chapter 828 Veterans Park -- Barnwell,Barnwell,South Carolina,United States,29812,North America,,,public,33.25982,-81.37811
Warbird Park -- Myrtle Beach,Myrtle Beach,South Carolina,United States,29577,North America,Farrow Parkway,https://www.cityofmyrtlebeach.com/,public,33.66147,-78.92878
