name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
114th Fighter Wing Static Displays -- Sioux Falls,Sioux Falls,South Dakota,United States,57104,North America,Joe Foss Field; South Dakota Air National Guard Base,https://www.114fw.ang.af.mil/,restricted,43.573033,-96.742481
Armed Forces Display and Gifts -- Wasta,Wasta,South Dakota,United States,,North America,,,public,44.067831,-102.448936
Chan Gurney Airport Display -- Yankton,Yankton,South Dakota,United States,,North America,,,public,42.909625,-97.383508
Faulkton Municipal Airport Display -- Faulkton,Faulkton,South Dakota,United States,,North America,,,public,45.032875,-99.118572
Garretson Scorpion Display -- Garretson,Garretson,South Dakota,United States,,North America,,,appointment,43.802564,-96.528886
Great Plains Airport Display -- Tea,Tea,South Dakota,United States,,North America,,,public,43.455136,-96.804189
Huron Regional Airport Display -- Huron,Huron,South Dakota,United States,,North America,,,public,44.384889,-98.214558
Lake Norden Veterans Display -- Lake Norden,Lake Norden,South Dakota,United States,,North America,,,public,44.581683,-97.212900
Minuteman Missile National Historic Site,Philip,South Dakota,United States,57567,North America,24545 Cottonwood Road; Delta-09 launch facility at Interstate 90 exit 116,https://www.nps.gov/mimi/,public,43.931110,-102.160560
Minuteman Missile National Historic Site Delta-09 -- Philip,Philip,South Dakota,United States,57567,North America,24545 Cottonwood Road,https://www.nps.gov/mimi/,public,43.879500,-102.129200
South Dakota Air and Space Museum,Box Elder,South Dakota,United States,57719,North America,2890 Davis Drive; outside the Ellsworth AFB main gate,,public,44.133562,-103.073142
South Dakota National Guard Museum,Pierre,South Dakota,United States,57501,North America,301 East Dakota Avenue,https://sdguard.ng.mil/,public,44.363997,-100.352392
South Dakota Veterans Park -- Chamberlain,Chamberlain,South Dakota,United States,,North America,,,public,43.797217,-99.341344
Watertown Regional Airport Display -- Watertown,Watertown,South Dakota,United States,,North America,,,public,44.927992,-97.153569
Watertown Veterans Memorial -- Watertown,Watertown,South Dakota,United States,,North America,,,public,44.934186,-97.168753
