manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Supermarine,Spitfire,F.22,PK355,Spitfire,,fixed_wing,monoplane,military,fighter,,"Construction number CBAF.44. Entered Southern Rhodesian Air Force service as SR65 on 28 March 1951; struck off charge 1954 and redesignated RRAF65 in October 1954. Subsequently held at the Bulawayo museum, pole-mounted at Thornhill in 1978, at the Zimbabwe Air Force museum at New Sarum 1983-1990, and at Gweru from 1993. The only Rhodesian Spitfire F.22 to survive; sister aircraft PK350 (SR64) was destroyed in a crash near Harare in 1982. Photographed in person on site by a visitor in July 2023, the most recent independent visual confirmation for any single Gweru airframe.",SR65;RRAF65;CBAF.44;Spitfire Mk 22,Trim Park Aviation Museum,on_display
de Havilland,Vampire,FB.9,RRAF112,Vampire,,fixed_wing,monoplane,military,fighter,,"Ex-Royal Rhodesian Air Force single-seat fighter-bomber. Compiler tables record the displayed marking and the true identity as the same, and the airframe is captioned simply as serial 112 in photographic records. One of three Vampires in the collection.",112;DH.100;DH100,Trim Park Aviation Museum,on_display
de Havilland,Vampire,FB.52,1380,Vampire,,fixed_wing,monoplane,military,fighter,,"Ex-Rhodesian Air Force export-standard fighter-bomber, the second of the three Vampires held. Recorded in complete condition with the displayed marking matching the true identity.",DH.100;DH100;Vampire FB52,Trim Park Aviation Museum,on_display
de Havilland,Vampire,T.11,2406,Vampire,,fixed_wing,monoplane,military,trainer,,Two-seat Vampire trainer. The airframe wears the serial 4220 but its true identity is 2406; the aeroflight and Zimbabwe Field Guide inventories both carry an explicit displayed-identity versus real-identity distinction for this aircraft and the photographic caption record does the same. The false marking is recorded in aliases.,4220;DH.115;DH115;Vampire T11,Trim Park Aviation Museum,on_display
English Electric,Canberra,B.2,R2504,Canberra,,fixed_wing,monoplane,military,bomber,,"Ex-Rhodesian Air Force Canberra light bomber, the type used by No 5 Squadron in the Bush War. Complete airframe. A second Zimbabwean Canberra, T.4 serial 2215, was recorded derelict at Manyame air base in 1996 and is not part of this collection.",2504;Canberra B2,Trim Park Aviation Museum,on_display
Hawker,Hunter,FGA.9,1188,Hunter,,fixed_wing,monoplane,military,ground_attack,,"Ex-Rhodesian Air Force ground-attack Hunter of the type operated by No 1 Squadron. Complete airframe. Separately, one ex-Zimbabwean Hunter was gifted to the Chinese Aviation Museum in Beijing and is displayed there in British markings; that aircraft is not this one and is outside this region.",Hunter Mk 9;Hunter FGA9,Trim Park Aviation Museum,on_display
Percival,Provost,T.52,3614,Provost,,fixed_wing,monoplane,military,trainer,,Ex-Rhodesian Air Force piston basic trainer; T.52 was the export designation supplied to Southern Rhodesia. Complete airframe.,P.56;P56;Provost T52,Trim Park Aviation Museum,on_display
North American,Harvard,IIA,SR48,Harvard,,fixed_wing,monoplane,military,trainer,,"Ex-South African Air Force Harvard supplied to Southern Rhodesia in the early 1950s and serialled SR48. Complete airframe, photographed in the collection.",T-6;T6;AT-6C;AT6C;Texan,Trim Park Aviation Museum,on_display
de Havilland,Tiger Moth,DH.82A,SR26,Tiger Moth,,fixed_wing,biplane,military,trainer,,"Ex-Southern Rhodesian Air Force elementary trainer, one of a batch delivered in the late 1940s and early 1950s. Two compilations give SR26 as both the displayed and the true identity; a third describes the aircraft as painted in the markings of the first Tiger Moth delivered to the SRAF, which leaves some doubt as to whether SR26 is the airframe or only the scheme. Identity retained here but treated as provisional.",DH.82A;DH82A,Trim Park Aviation Museum,on_display
Vickers,Viscount,748D,Z-YNA,Viscount,,fixed_wing,monoplane,civilian,commercial_transport,1956,Construction number 98. First flew at Hurn on 28 March 1956 and delivered to Central African Airways on 24 April 1956 as VP-YNA; leased to Air Malawi as 7Q-YDK from 1968 to 1979; returned as VP-YNA with Air Zimbabwe Rhodesia and then Air Zimbabwe; reregistered Z-YNA in October 1983 and withdrawn 31 May 1985 after 40580 flying hours. Handed to the museum in August 1986 and displayed at the entrance with the cockpit open to visitors. Confirmed in place by a dated photograph in November 2019.,VP-YNA;7Q-YDK;V.748D;V748D,Trim Park Aviation Museum,on_display
Mignet,HM.14,,,Flying Flea,,fixed_wing,monoplane,civilian,private,,"Homebuilt Mignet Pou du Ciel of the 1930s Flying Flea movement, held in the aviation collection with no serial or registration recorded by any inventory. Tandem-wing layout; classed here as a monoplane because each of its two lifting surfaces is a single wing rather than a stacked pair. Listed in complete condition.",HM14;Pou du Ciel;Flying Flea,Trim Park Aviation Museum,on_display
Bell,205,A-1,,Cheetah,,rotary_wing,,military,utility,,"Cabin and fuselage shell only, construction number 4037, wearing the marking 6082. Photographed among the museum exhibits. Not carried by the aeroflight or Zimbabwe Field Guide inventories, which list eleven complete aircraft and omit it, so its identity as an exhibit rests on the photographic record and one directory listing. The marking 6082 is recorded as an alias rather than as the tail number because it has not been independently tied to this hull.",AB.205A;AB205A;6082;Huey,Trim Park Aviation Museum,on_display
