manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Grunau,Baby,,,Grunau Baby,,fixed_wing,monoplane,civilian,trainer,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,Grunau Baby; Baby,Segelflygmuseet på Ålleberg,on_display
Fibbe,Fi-1,,,Fi-1,,fixed_wing,monoplane,civilian,other,,Swedish sailplane listed in the IPMS Stockholm report on the museum. Registration not verified.,Fi1,Segelflygmuseet på Ålleberg,on_display
PIK,PIK-16,C,,Vasama,,fixed_wing,monoplane,civilian,other,,Finnish sailplane listed in the IPMS Stockholm report on the museum. Registration not verified.,PIK16; PIK-16C; Vasama; PIK16C,Segelflygmuseet på Ålleberg,on_display
Scheibe,Bergfalke,II/55,,Bergfalke,,fixed_wing,monoplane,civilian,other,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,Bergfalke II; Bergfalke II/55,Segelflygmuseet på Ålleberg,on_display
Schleicher,K-8,b,,Ka 8,,fixed_wing,monoplane,civilian,other,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,K8; K-8b; Ka 8; Ka8; K8b,Segelflygmuseet på Ålleberg,on_display
Schweizer,SGS 2-22,E,,SGS 2-22,,fixed_wing,monoplane,civilian,trainer,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,SGS2-22; 2-22E,Segelflygmuseet på Ålleberg,on_display
SZD,SZD-9,,,Bocian,,fixed_wing,monoplane,civilian,trainer,,Polish two-seat sailplane listed in the IPMS Stockholm report on the museum. Registration not verified.,SZD9; Bocian,Segelflygmuseet på Ålleberg,on_display
Slingsby,Skylark,,,Skylark,,fixed_wing,monoplane,civilian,other,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,Slingsby Skylark,Segelflygmuseet på Ålleberg,on_display
AB Flygindustri,Babyfalk,,,Babyfalk,,fixed_wing,monoplane,civilian,other,,Swedish sailplane listed in the IPMS Stockholm report on the museum. Registration not verified.,Babyfalk,Segelflygmuseet på Ålleberg,on_display
DFS,Weihe,,,Weihe,,fixed_wing,monoplane,civilian,other,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,DFS Weihe; Se-104; Se104,Segelflygmuseet på Ålleberg,on_display
Mosway,Mosway III,,,Mosway III,,fixed_wing,monoplane,civilian,other,,Listed in the IPMS Stockholm report on the museum. Registration not verified.,Mosway,Segelflygmuseet på Ålleberg,on_display
Schneider,SG 38,,,Schulgleiter,,fixed_wing,monoplane,civilian,trainer,,Primary training glider listed in the IPMS Stockholm report on the museum. Registration not verified.,SG38; Schulgleiter SG 38,Segelflygmuseet på Ålleberg,on_display
Schleicher,Anfänger,,,Anfanger,,fixed_wing,monoplane,civilian,trainer,,Primary training glider listed in the IPMS Stockholm report on the museum. Registration not verified.,Anfanger; Anfänger,Segelflygmuseet på Ålleberg,on_display
Scheibe,Motorspatz,,,Motorspatz,,fixed_wing,monoplane,civilian,other,,Powered sailplane listed in the IPMS Stockholm report on the museum. Registration not verified.,Scheibe Motorspatz,Segelflygmuseet på Ålleberg,on_display
AB Flygindustri,LG 105,,,Lastglidare 105,,fixed_wing,monoplane,military,transport,,Sweden's only surviving LG 105 assault transport glider. The programme was abandoned after a fatal prototype accident.,LG105; Lastglidare 105; Lg 105,Segelflygmuseet på Ålleberg,on_display
