manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Republic,P-47,D,,Thunderbolt,Wicked Wabbit,fixed_wing,monoplane,military,fighter,,Named on the museum's own 2026 aircraft page. Aerial Visuals carries two Thunderbolts here - ex-Bolivian FAB 4175 c/n 399-55605 N9246B and ex-Yugoslav 13021 N647D - and does not say which carries which name so the serial is left blank,Wicked Wabbit; P47; P47D,Tennessee Museum of Aviation,on_display
Republic,P-47,D,,Thunderbolt,Hun Hunter XVI,fixed_wing,monoplane,military,fighter,,Second Thunderbolt named on the museum's 2026 aircraft page; see the note above on which of the two recorded serials applies,Hun Hunter XVI; P47; P47D,Tennessee Museum of Aviation,on_display
Douglas,A-1,H,139665,Skyraider,Lieutenant America,fixed_wing,monoplane,military,ground_attack,,c/n 10897; South Vietnamese Air Force serial 139665 which is also its original US Navy BuNo; civil as N665TC. Confirmed on the museum's own 2026 aircraft page,BuNo 139665; c/n 10897; N665TC; Lieutenant America; A1; A1H,Tennessee Museum of Aviation,on_display
Grumman,HU-16,E,7246,Albatross,,fixed_wing,monoplane,military,search_rescue,,US Coast Guard serial 7246; c/n G-335; ex-civil N29853. Confirmed on the museum's own 2026 aircraft page,c/n G-335; N29853; HU16; HU16E,Tennessee Museum of Aviation,on_display
North American,OV-10,D,155451,Bronco,,fixed_wing,monoplane,military,recon,,FAA registry September 2026 shows N12320 an OV-10D serial 155451 current to Tennessee Museum of Aviation at Sevierville. Aerial Visuals additionally records a Colombian Air Force period as FAC 3045 c/n 305-062,N12320; BuNo 155451; c/n 305-062; OV10; OV10D,Tennessee Museum of Aviation,on_display
Canadair,CT-133,,21566,Silver Star,,fixed_wing,monoplane,military,trainer,,Royal Canadian Air Force serial 21566; c/n T33-566; ex-civil N307FS. The museum's page calls it a T-33 Silver Star,c/n T33-566; N307FS; T-33; CT133; T33,Tennessee Museum of Aviation,on_display
North American,T-28,B,138129,Trojan,,fixed_wing,monoplane,military,trainer,,BuNo 138129; c/n 200-200; registered NX32257. Confirmed on the museum's own 2026 aircraft page,BuNo 138129; c/n 200-200; NX32257; T28; T28B,Tennessee Museum of Aviation,on_display
Beech,T-34,B,144102,Mentor,,fixed_wing,monoplane,military,trainer,1969,FAA registry September 2026 shows N8457 a T-34B BuNo 144102 current to Tennessee Museum of Aviation; c/n BG-409. Aerial Visuals had recorded it as departed which the registry contradicts - the registry is the later evidence,N8457; BuNo 144102; c/n BG-409; T34; T34B,Tennessee Museum of Aviation,on_display
Cessna,O-1,A,51-16910,Bird Dog,,fixed_wing,monoplane,military,recon,1951,FAA registry September 2026 shows N10714 a Cessna 305A c/n 22748 built 1951 current to Tennessee Museum of Aviation; Aerial Visuals ties the airframe to USAF 51-16910,N10714; c/n 22748; O1; O1A,Tennessee Museum of Aviation,on_display
Cessna,P172,D,N99RT,Skyhawk,,fixed_wing,monoplane,civilian,private,1962,FAA registry September 2026 shows N99RT c/n P17257165 current to Tennessee Museum of Aviation Inc at Sevierville,c/n P17257165,Tennessee Museum of Aviation,on_display
