manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Cessna,T-37,B,62-5952,Tweet,,fixed_wing,monoplane,military,trainer,,converted about 1965 to YAT-37D in the A-37 Dragonfly prototype lineage then converted back to T-37B about 1970,c/n 40720; T37,Historic Aviation Memorial Museum,on_display
Lockheed,T-33,A,58-0621,Shooting Star,,fixed_wing,monoplane,military,trainer,1959,struck off charge at Carswell AFB 1970; ex-Pate Museum; to Tyler 2004,c/n 580-1670; T33,Historic Aviation Memorial Museum,on_display
North American Rockwell,T-2,C,157034,Buckeye,,fixed_wing,monoplane,military,trainer,1969,,c/n 332-05; T2,Historic Aviation Memorial Museum,on_display
Douglas,TA-4,J,154291,Skyhawk,,fixed_wing,monoplane,military,trainer,1967,,c/n 13679; TA4,Historic Aviation Memorial Museum,on_display
General Dynamics,F-111,A,67-0051,Aardvark,,fixed_wing,monoplane,military,bomber,,the museum and Wikipedia call this an F-111E but Baugher records 67-0051 as an F-111A that became a GF-111A ground trainer at Sheppard; the F-111E 67-0050 left for Tucson in 2012 and was scrapped,c/n A1-96; F111,Historic Aviation Memorial Museum,on_display
Republic,F-105,D,60-0500,Thunderchief,,fixed_wing,monoplane,military,ground_attack,1961,36th TFW Bitburg then 49th TFW and 23rd TFW McConnell; ex-Pate Museum acquired 2004,c/n D187; F105,Historic Aviation Memorial Museum,on_display
North American,F-100,A,53-1684,Super Sabre,,fixed_wing,monoplane,military,fighter,1955,preserved at Lackland AFB from 1978 then to Tyler 2007; wears 53537 which is not its serial,c/n 192-179; F100,Historic Aviation Memorial Museum,on_display
North American,FJ-4,,139516,Fury,,fixed_wing,monoplane,military,fighter,1956,the museum's first aircraft received on US Navy loan December 2001,c/n 209-136; FJ4,Historic Aviation Memorial Museum,on_display
Douglas,AD-5,,132443,Skyraider,,fixed_wing,monoplane,military,ground_attack,1953,Aerial Visuals lists a second Skyraider 132433 which is probably a transposition duplicate,c/n 9460; A-1E; AD5; A1E,Historic Aviation Memorial Museum,on_display
Lockheed,F-104,A,56-0826,Starfighter,,fixed_wing,monoplane,military,fighter,,converted to JF-104A then back; MASDC 1968 then Royal Jordanian Air Force; painted as JASDF 36-5019 for film work,c/n 183-1114; F104,Historic Aviation Memorial Museum,on_display
McDonnell Douglas,F-4,D,66-8812,Phantom II,,fixed_wing,monoplane,military,fighter,1968,18th TFW then 8th TFW and 457th TFS; ex-Pate Museum to Tyler about 2005,c/n 2799; F4,Historic Aviation Memorial Museum,on_display
McDonnell,F-101,B,59-0471,Voodoo,,fixed_wing,monoplane,military,fighter,,RCAF 17471 with 410 416 and 425 Squadrons before returning to the USAF; NMUSAF loan; two sources say it has gone to Fort Worth for restoration but neither is dated or cited,c/n 795; F101,Historic Aviation Memorial Museum,under_restoration
Grumman,F9F,8,141058,Cougar,,fixed_wing,monoplane,military,fighter,1957,received 2011 and under restoration since about 2015,F-9J; F9J,Historic Aviation Memorial Museum,under_restoration
Bell,UH-1,H,69-15186,Iroquois,,rotary_wing,,military,utility,,ex-Texas Firebirds Volunteer Fire Department Wills Point; ex-N703TF,c/n 11474; N703TF; UH1,Historic Aviation Memorial Museum,under_restoration
PZL-Mielec,Lim-5,,1611,Fresco,,fixed_wing,monoplane,military,fighter,,MiG-17F built under licence in Poland; privately owned by Fighter Jets Inc of Mabank Texas and not museum property,c/n 1C 16-11; N217SH; Lim5,Historic Aviation Memorial Museum,on_display
Sikorsky,HO4S,1,125506,Chickasaw,,rotary_wing,,military,search_rescue,,arrived from the Texas Air Museum Caprock Chapter at Slaton,S-55; S55,Historic Aviation Memorial Museum,under_restoration
Consolidated,PBY,5A,N4934H,Catalina,,fixed_wing,monoplane,military,recon,,FAA c/n 9838; Aerial Visuals records it as Brazilian Air Force C-10A s/n 6525 which is unreconciled,PBY5A,Historic Aviation Memorial Museum,under_restoration
Hiller,H-23,D,N64275,Raven,,rotary_wing,,military,trainer,,registered to the museum and found only in the FAA registry,c/n 1243; H23,Historic Aviation Memorial Museum,on_display
PZL-Mielec,TS-11,,,Iskra,,fixed_wing,monoplane,military,trainer,,serial not established,TS11,Historic Aviation Memorial Museum,on_display
McDonnell,ADM-20,,,Quail,,missile_rocket,,military,cruise,,air-launched decoy; serial not established,ADM20,Historic Aviation Memorial Museum,on_display
