manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Beechcraft,18,E18S,N13JC,Twin Beech,Hollywood Bomber,fixed_wing,monoplane,civilian,private,1954,,s/n BA-31;the museum's flagship and its only FAA-registered asset;previously owned by Jackie Cochran and by Merv Griffin;over 12000 volunteer hours,Vintage Flying Museum,under_restoration
Douglas,A-26,K,64-17679,Invader,Special Kay,fixed_wing,monoplane,military,ground_attack,1944,,N4988N;B-26K Counter Invader;privately owned;landing gear collapse September 2022 and return to flight planned for 2028,Vintage Flying Museum,under_restoration
Douglas,A-26,B,43-7140,Invader,Night Mission,fixed_wing,monoplane,military,bomber,1943,,N240P;CAF-owned and based here with the CAF Invader Squadron;returned to the airshow circuit in late 2025,Vintage Flying Museum,on_display
Piaggio,P.136,L1,N40025,Royal Gull,,fixed_wing,monoplane,civilian,private,1955,,s/n 216;amphibian;owned by the founder's family,Vintage Flying Museum,on_display
Douglas,C-49,J,N87745,Skytrain,Southern Cross,fixed_wing,monoplane,civilian,transport,1942,,s/n 6315;DC-3;flies the annual DC-3 Christmas Lights Flights,Vintage Flying Museum,on_display
North American,F-86,F,52-4689,Sabre,,fixed_wing,monoplane,military,fighter,1953,,N8630;owned by the Smithsonian National Air and Space Museum and displayed on loan;wears Fuerza Aerea Boliviana FAB-658 colours which are not its identity,Vintage Flying Museum,on_display
Douglas,A-3,B,146453,Skywarrior,,fixed_wing,monoplane,military,electronic_warfare,1959,,EA-3B;code JQ-15;on loan;the BuNo comes from a photo log rather than the museum,Vintage Flying Museum,on_display
Piasecki,H-21,B,53-4324,Workhorse,Shaky Magoo,rotary_wing,,military,transport,1955,,CH-21B;the flying banana;on loan,Vintage Flying Museum,on_display
Canadair,T-33,Mk.3,133165,Silver Star,Dennie's Dream,fixed_wing,monoplane,military,trainer,1950,,N165KK;CT-133;ex-RCAF;the FAA owner field is blank so the registration may have lapsed,Vintage Flying Museum,on_display
North American,Harvard,Mk.III,N101NZ,Harvard,,fixed_wing,monoplane,military,trainer,1944,,ex-RNZAF NZ1079;FAA serial 41-34050;privately owned,Vintage Flying Museum,on_display
Stinson,V-77,,N5490N,Reliant,,fixed_wing,monoplane,military,utility,1944,,s/n 77-473;ex-RAF FB745;AT-19;privately owned,Vintage Flying Museum,on_display
Boeing-Stearman,PT-17,,N450HS,Kaydet,,fixed_wing,biplane,military,trainer,1942,,s/n 75-3876;wears RCAF FJ826 which is not its serial;privately owned,Vintage Flying Museum,on_display
Culver,Cadet,LFA,N37819,Cadet,,fixed_wing,monoplane,civilian,private,1941,,s/n 330;privately owned;a photo log records s/n 274 for the museum's Cadet which may indicate a different airframe,Vintage Flying Museum,on_display
Vultee,BT-13,B,,Valiant,,fixed_wing,monoplane,military,trainer,1942,,named by the museum as an active restoration;serial not published,Vintage Flying Museum,under_restoration
