manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aero Commander,500,A,2021,,,fixed_wing,monoplane,military,transport,,"At the Saphan Nak airfield entrance from 1988 serialled 78392, repainted 2540 / FR9 in 2002 and moved into the museum by November 2010; remarked several times and carried 2021 from October 2022 through January 2026.",AC500; 78392; 2540; 2012,Royal Thai Army Aviation Museum,on_display
Bell,OH-13,H,4948,Sioux,,rotary_wing,,military,utility,,Probably ex US Army 59-4948. A technical training airframe outside the Maintenance Battalion until moved into the museum by January 2012.,OH13H; 59-4948; OH13,Royal Thai Army Aviation Museum,on_display
Bell,OH-13,S,5877,Sioux,,rotary_wing,,military,utility,,Probably ex US Army 67-15877; airworthy at Saphan Nak until 2015 and first noted displayed inside the museum January 2023.,OH13S; 67-15877; OH13,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,,8626,Iroquois,,rotary_wing,,military,utility,,"Composite airframe, reportedly the UH-1C brought back from Vietnam by General Kattiya Sawasdipol and displayed at the Royal Guard 1st Infantry HQ in Bangkok until about 2010, with RTAVF-111 visible under the paint. It is not UH-1B 63-8626 (destroyed in Vietnam 1965) and the panel radio call 70-16375 belongs to another aircraft; pitot positions suggest a UH-1C/M/E front end mated to a UH-1H tail.",UH1; 8626; RTAVF-111,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,HT,3403,Iroquois,,rotary_wing,,military,utility,,"Ex US 79-23403, c/n 16042 from the data plate. In the museum since January 2017.",UH1HT; 79-23403; c/n 16042; UH1,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,HT,3412,Iroquois,,rotary_wing,,military,utility,,"Ex US 79-23412, c/n 16051 from the data plate. Cabin pod only, displayed inside the museum since January 2012.",UH1HT; 79-23412; c/n 16051; UH1,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,H,3415,Iroquois,,rotary_wing,,military,utility,,Ex US 79-23415. In the museum since January 2012.,UH1H; 79-23415; UH1,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,H,5048,Iroquois,,rotary_wing,,military,utility,,"Ex US 79-23409, c/n 16048. A technical training airframe marked 3409 in 2005, in the museum marked 6048 from 2012 and remarked 5048 by January 2023.",UH1H; 79-23409; 6048; 3409; c/n 16048; UH1,Royal Thai Army Aviation Museum,on_display
Bell,UH-1,H,5492,Iroquois,,rotary_wing,,military,utility,,New to the museum between January 2023 and January 2026.,UH1H; 5492; UH1,Royal Thai Army Aviation Museum,on_display
Boeing Vertol,CH-47,A,413148,Chinook,,rotary_wing,,military,transport,,Ex US Army 64-13148. In the museum area since 1995; marked variously 3148 and 4563 but carried 413148 again from January 2024 through January 2026.,CH47A; 64-13148; 3148; 4563; CH47,Royal Thai Army Aviation Museum,on_display
