manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Grumman,S-2,F,1103,Tracker,,fixed_wing,monoplane,military,recon,,Ex US Navy Bu136430. Long in store at U-Tapao; moved to the new Naval Aviation Museum site by September 2015 and noted through January 2025.,S2F; Tracker; Bu136430; 136430; S2,Royal Thai Naval Aviation Museum,on_display
Lockheed,VP-3,T,1206,Orion,,fixed_wing,monoplane,military,recon,,Royal Thai Navy VIP/surveillance conversion. Moved to the new Naval Aviation Museum site March 2015.,VP3T; Orion; P-3; VP3; P3,Royal Thai Naval Aviation Museum,on_display
Cessna,O-1,A,1302,Bird Dog,,fixed_wing,monoplane,military,recon,,Probably ex US 51-16973. In store at U-Tapao from 2006; moved to the new Naval Aviation Museum site by January 2016.,O1A; 51-16973; 516973; O1,Royal Thai Naval Aviation Museum,on_display
Cessna,U-17,B,1308,,,fixed_wing,monoplane,military,utility,,In store at U-Tapao from 2006; moved to the new Naval Aviation Museum site by January 2016.,U17B; 1308; U17,Royal Thai Naval Aviation Museum,on_display
Vought,A-7,E,1403,Corsair II,,fixed_wing,monoplane,military,ground_attack,,Ex US Navy Bu160859. Withdrawn from use in the U-Tapao shelters from 2007 and moved to the new Naval Aviation Museum site March 2015.,A7E; Corsair II; Bu160859; 160859; A7,Royal Thai Naval Aviation Museum,on_display
Vought,A-7,E,1406,Corsair II,,fixed_wing,monoplane,military,ground_attack,,Ex US Navy Bu160545. Moved to the new Naval Aviation Museum site March 2015.,A7E; Corsair II; Bu160545; 160545; A7,Royal Thai Naval Aviation Museum,on_display
Vought,TA-7,C,1416,Corsair II,,fixed_wing,monoplane,military,ground_attack,,"Ex US Navy Bu156779; the two-seat trainer variant, but marked at the museum as an A-7E. Moved to the new site March 2015.",TA7C; Corsair II; Bu156779; 156779; TA7,Royal Thai Naval Aviation Museum,on_display
Douglas,C-47,,2102,Skytrain,,fixed_wing,monoplane,military,transport,,"Displayed marked 2102 / 44-76418, but the marking is believed false. In and around U-Tapao since the 1990s; moved to the new Naval Aviation Museum site by August 2016.",C47; 44-76418; Dakota,Royal Thai Naval Aviation Museum,on_display
Canadair,CL-215,,2104,,,fixed_wing,monoplane,military,search_rescue,,Royal Thai Navy amphibian. Moved to the new Naval Aviation Museum site by April 2019.,CL215; 2104,Royal Thai Naval Aviation Museum,on_display
Government Aircraft Factories,N24,A,2109,Nomad,,fixed_wing,monoplane,military,transport,,Royal Thai Navy Nomad; stored at U-Tapao until moved to the new Naval Aviation Museum site by September 2015.,N24A; Nomad; 2109,Royal Thai Naval Aviation Museum,on_display
Bell,UH-1,H,2202,Iroquois,,rotary_wing,,military,utility,,"Ex US 72-21612, c/n 13311 from the data plate; escaped from South Vietnam to Thailand April 1975. Stored at RTAF Lopburi and displayed there as RTAF 20311 until moved to the Naval Aviation Museum by November 2022, where it is mispainted as 2204.",UH1H; 72-21612; 2204; 20311; c/n 13311; UH1,Royal Thai Naval Aviation Museum,on_display
Bell,214,ST,2305,,,rotary_wing,,military,utility,,Stored or used for spares at U-Tapao from 2002; moved to the new Naval Aviation Museum site March 2015.,214ST; 2305,Royal Thai Naval Aviation Museum,on_display
Hawker Siddeley,TAV-8,S,3101,Matador,,fixed_wing,monoplane,military,trainer,,"Two-seat Harrier trainer, ex US Bu159563. Active until 2006, then withdrawn in the U-Tapao shelters and moved to the new Naval Aviation Museum site March 2015. Marked as a TAV-8A.",TAV8S; Matador; Bu159563; 159563; Harrier; TAV8,Royal Thai Naval Aviation Museum,on_display
