manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Douglas,C-47,,219789,Skytrain,,fixed_wing,monoplane,military,transport,,"Ex RTAF, ex USAAF 43-49516 c/n 26777. Mounted over the gatehouse from 1994 until removed in February 2018; the cut-up remains are inside the base and were noted January 2026.",C47; 43-49516; Dakota; c/n 26777,Royal Thai Police Aviation Division Historic Aircraft Display,in_storage
Sikorsky,S-55,,600,,,rotary_wing,,military,utility,,c/n 55940 from the cockpit plate. Displayed at the police heliport since 1994; moved to the east side of the base in 2017.,S55; H-19; 600; c/n 55940; H19,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Kawasaki,KH-4,,1116,,,rotary_wing,,military,utility,,c/n 2198 from the cockpit plate; the true serial is 1116 although it is displayed as ตร-1119. Mounted on the office entrance roof since 2004.,KH4; 1119; c/n 2198,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Hiller,UH-12,E,1006,Raven,,rotary_wing,,military,utility,,c/n 2314 from the cockpit plate; the true serial is 1006 although it is displayed as ตร-1009. Moved near the north gate in 2017.,UH12E; Raven; 1009; c/n 2314; UH12,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Sikorsky,S-62,A,801,,,rotary_wing,,military,search_rescue,,c/n 62020 from the cockpit plate. Displayed at the police heliport since 1994; moved to the east side of the base in 2017.,S62A; 801; c/n 62020; S62,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Cessna,310,F,702,,,fixed_wing,monoplane,military,transport,,c/n 0117. Displayed since 1994; badly damaged in a storm 13 May 2014 and moved near the north gate in 2017.,310F; 702; c/n 0117,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Beagle,D5,/180,1409,Husky,,fixed_wing,monoplane,military,utility,,c/n 3687. Displayed since 1994 and mounted on the office entrance roof since 2004.,D5-180; Husky; 1409; c/n 3687,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Pilatus,PC-6,,1609,Turbo Porter,,fixed_wing,monoplane,military,utility,,"Active until about 2010, then stored at Don Mueang; first noted on display at Tha Raeng April 2019.",PC6; Turbo Porter; 1609,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Dornier,Do 28,D-7,1815,Skyservant,,fixed_wing,monoplane,military,transport,,c/n 4015 from the data plate. Displayed since 1994; badly damaged in a storm 13 May 2014 and now derelict within the base.,Do28D; Skyservant; 1815; c/n 4015,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
AESL,T6/24,,1909,Airtourer,,fixed_wing,monoplane,military,trainer,,c/n B.577. Displayed since 1994; moved near the north gate in 2017.,Airtourer; T6-24; 1909; c/n B.577,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
Bell,206,B,2312,JetRanger II,,rotary_wing,,military,utility,,"c/n 2128 from the data plate. Stored in the hangar until 2016, repainted May 2019 and put on display by December 2021.",206B; JetRanger; 2312; c/n 2128,Royal Thai Police Aviation Division Historic Aircraft Display,on_display
