manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
English Electric,Lightning,F.53,ZF584,,,fixed_wing,monoplane,military,fighter,,"Ex-Royal Saudi Air Force Lightning F.53, returned to Britain in the 1980s; displayed outdoors. Seen on site October 2021.",Lightning F53; F53; P.1B,Dumfries and Galloway Aviation Museum,on_display
Dassault,Mystere,IVA,318,,,fixed_wing,monoplane,military,ground_attack,,Ex-Armee de l'Air Mystere IVA displayed outdoors in French markings coded 8-NY. Seen on site October 2021.,Mystere IV; Mystere IVA; MD.454,Dumfries and Galloway Aviation Museum,on_display
English Electric,Canberra,T.4,WJ880,,,fixed_wing,monoplane,military,trainer,,Displayed outdoors. Seen on site October 2021.,Canberra T4; Canberra T.4,Dumfries and Galloway Aviation Museum,on_display
Fairey,Gannet,AEW.3,XL497,,,fixed_wing,monoplane,military,recon,,"Royal Navy airborne early warning Gannet, displayed outdoors coded 041. Seen on site October 2021.",Gannet AEW3; AEW.3,Dumfries and Galloway Aviation Museum,on_display
General Dynamics,F-111,E,68-0060,,,fixed_wing,monoplane,military,ground_attack,,"Cockpit escape module only, from a USAF F-111E of the type based at Upper Heyford. Seen on site October 2021.",F-111E; F111E; Aardvark; F111,Dumfries and Galloway Aviation Museum,on_display
Gloster,Meteor,T.7,WL375,,,fixed_wing,monoplane,military,trainer,,Two-seat Meteor trainer displayed outdoors. Seen on site October 2021.,Meteor T7; Meteor T.7,Dumfries and Galloway Aviation Museum,on_display
Hawker,Hunter,F.4,WT746,,,fixed_wing,monoplane,military,fighter,,Displayed outdoors. Seen on site October 2021.,Hunter F4; P.1067,Dumfries and Galloway Aviation Museum,on_display
Hawker Siddeley,Buccaneer,S.2B,XT280,,,fixed_wing,monoplane,military,ground_attack,,Nose section only. Seen on site October 2021.,Buccaneer S2B; NA.39,Dumfries and Galloway Aviation Museum,on_display
Hawker Siddeley,Trident,3B,G-AWZJ,,,fixed_wing,monoplane,civilian,commercial_transport,,Forward fuselage of a British Airways Trident 3B. Seen on site October 2021.,Trident 3B; HS.121; DH.121,Dumfries and Galloway Aviation Museum,on_display
Hawker Siddeley,Trident,1C,G-ARPP,,,fixed_wing,monoplane,civilian,commercial_transport,,Cockpit section only. Recorded in the collection; not separately confirmed on the October 2021 site visit.,Trident 1C; HS.121,Dumfries and Galloway Aviation Museum,on_display
Hunting Percival,Jet Provost,T.4,XP557,,,fixed_wing,monoplane,military,trainer,,RAF basic jet trainer displayed outdoors coded 72. Seen on site October 2021.,Jet Provost T4; JP4; P.84,Dumfries and Galloway Aviation Museum,on_display
Lockheed,T-33,A,FT-36,,,fixed_wing,monoplane,military,trainer,,Ex-Belgian Air Force T-33A wearing the Belgian serial FT-36. Seen on site October 2021.,T-33A; T33A; Shooting Star; T-Bird; T33,Dumfries and Galloway Aviation Museum,on_display
North American,F-100,D,54-2163,,,fixed_wing,monoplane,military,ground_attack,,Ex-USAF Super Sabre displayed outdoors in USAF markings. Seen on site October 2021. An earlier published list gives the serial as 54-005; 54-2163 is the identity recorded on a dated 2021 site visit.,F-100D; F100D; Super Sabre; Hun; F100,Dumfries and Galloway Aviation Museum,on_display
Saab,J35,A,35075,,,fixed_wing,monoplane,military,fighter,,Ex-Flygvapnet Draken displayed outdoors; recorded variously as a J35A and a J35J. Seen on site October 2021 coded 16-40.,J35; J-35; Draken; Saab 35,Dumfries and Galloway Aviation Museum,on_display
Scottish Aviation,Jetstream,T.2,XX483,,,fixed_wing,monoplane,military,trainer,,"Cockpit section only, of a Royal Navy observer trainer coded 562. Seen on site October 2021.",Jetstream T2; HP.137; Jetstream T1,Dumfries and Galloway Aviation Museum,on_display
Scottish Aviation,Twin Pioneer,3,G-AYFA,,,fixed_wing,monoplane,civilian,transport,,"Prestwick-built STOL transport, ex-RAF Twin Pioneer CC.2 XM285. Seen on site October 2021.",Twin Pioneer 3; XM285; Twin Pin,Dumfries and Galloway Aviation Museum,on_display
Westland,Wessex,HU.5,XT486,,,rotary_wing,,military,utility,,"Royal Marines commando assault helicopter, displayed outdoors. Seen on site October 2021.",Wessex HU5; S-58; Sikorsky S-58; S58,Dumfries and Galloway Aviation Museum,on_display
Airspeed,Horsa,I,,,,fixed_wing,monoplane,military,transport,,"Cockpit and forward fuselage section of a wartime assault glider, airframe BAPC.503, displayed indoors. Seen on site October 2021.",Horsa; AS.51; BAPC.503,Dumfries and Galloway Aviation Museum,on_display
General Aircraft,Hotspur,II,,,,fixed_wing,monoplane,military,trainer,,"Nose section of a Hotspur training glider, airframe BAPC.397, displayed indoors. Seen on site October 2021.",Hotspur II; GAL.48; BAPC.397,Dumfries and Galloway Aviation Museum,on_display
