manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
DFS,108-68,,348,Weihe,,fixed_wing,monoplane,civilian,trainer,,"DFS 108-68 Weihe glider coded 17, displayed marked D-11-875. Confirmed Jul 2024.",DFS 108-68; Jacobs Weihe; D-11-875; 10868; DFS 10868; D11875,Gliding Heritage Centre,on_display
Schweizer,TG-3,A,42-52983,,,fixed_wing,monoplane,military,trainer,,"Schweizer TG-3A training glider, ex US Army Air Force. Displayed inside. Confirmed Jul 2024.",TG3; TG3A; SGS 2-12; 252983; SGS 212,Gliding Heritage Centre,on_display
Laister-Kauffman,TG-4,A,42-53027,,,fixed_wing,monoplane,military,trainer,,"Laister-Kauffman TG-4 training glider, ex US Army Air Force, later C-FRAH. Confirmed Jul 2024.",TG4; TG4A; LK-10; C-FRAH; LK10,Gliding Heritage Centre,on_display
Slingsby,Grasshopper,TX.1,,,,fixed_wing,monoplane,military,trainer,,Slingsby Grasshopper TX.1 primary glider carrying the gliding club identity BGA4372/JBA; its starboard wing came from XP463. Confirmed on display inside Aug 2021.,T.38; T38; BGA4372; JBA; XP463,Gliding Heritage Centre,on_display
Slingsby,Cadet,TX.1,RA847,,,fixed_wing,monoplane,military,trainer,,Slingsby Cadet TX.1 frame stored in the roof space and not readily visible. Last reported Jul 2021.,T.7; T7; BGA731; AWZ,Gliding Heritage Centre,in_storage
Slingsby,Gull,T.15,TJ711,Gull III,,fixed_wing,monoplane,civilian,private,,"Slingsby T.15 Gull III glider, BGA643. Displayed inside. Confirmed Jul 2024.",T.15; T15; Gull III; BGA643,Gliding Heritage Centre,on_display
Slingsby,Sedbergh,TX.1,WB990,,,fixed_wing,monoplane,military,trainer,,"Slingsby Sedbergh TX.1 coded 993, maintained airworthy and flown by the centre. Confirmed Jul 2024.",T.21; T21,Gliding Heritage Centre,on_display
Elliotts of Newbury,Eton,TX.1,WP270,EoN Eton,,fixed_wing,monoplane,military,trainer,,Elliotts of Newbury Eton TX.1 primary glider. Displayed inside. Confirmed Jul 2024.,EoN Eton,Gliding Heritage Centre,on_display
Slingsby,Cadet,TX.3,XE800,,,fixed_wing,monoplane,military,trainer,,Slingsby Cadet TX.3 coded FFQ. Confirmed Jul 2024.,T.31; T31; FFQ,Gliding Heritage Centre,on_display
Slingsby,Cadet,TX.3,XN243,,,fixed_wing,monoplane,military,trainer,,"Slingsby Cadet TX.3, BGA3145/FCC. Displayed inside. Confirmed Jul 2024.",T.31; T31; BGA3145; FCC,Gliding Heritage Centre,on_display
