manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Anson,II,7349,,,fixed_wing,monoplane,military,trainer,,"Fuselage section only. Marked ex RCAF. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",,"The Griffin Trust, Hooton Park",on_display
de Havilland,Tiger Moth,II,EM840,,,fixed_wing,biplane,military,trainer,,"Marked G-ANBY. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",DH.82; DH82; G-ANBY,"The Griffin Trust, Hooton Park",on_display
North American,Harvard,IIb,KF741,,,fixed_wing,monoplane,military,trainer,,"Fuselage section only. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Jun 2026.",AT-6; AT6; T-6; T6; Texan,"The Griffin Trust, Hooton Park",on_display
Sikorsky,Hoverfly,I,,,,rotary_wing,,military,utility,,"Composite Sikorsky Hoverfly built largely from the remains of KK995. Marked E, composite. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Jul 2025. Tail left blank because the composite is built from KK995 while KL110 is the RAF Museum London airframe.",R-4; R4; VS-316; KK995; KL110; VS316,"The Griffin Trust, Hooton Park",on_display
Supermarine,Spitfire,PRXIX,PM651,,,fixed_wing,monoplane,military,fighter,,"Marked X, 7758M. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Apr 2026.",7758M,"The Griffin Trust, Hooton Park",on_display
Slingsby,Cadet,TX.1,RA848,,,fixed_wing,monoplane,military,trainer,,"Nose section only. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",T.7; T7; Kirby Cadet,"The Griffin Trust, Hooton Park",on_display
Percival,Proctor,IV,RM169,,,fixed_wing,monoplane,military,trainer,,"Marked 4-47, G-ANVY. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Aug 2025.",G-ANVY,"The Griffin Trust, Hooton Park",under_restoration
Auster,AOP,6,VF635,,,fixed_wing,monoplane,military,recon,,"Marked G-ARGB. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",G-ARGB; AOP6,"The Griffin Trust, Hooton Park",in_storage
Beagle,Terrier,2,VW993,,,fixed_wing,monoplane,civilian,private,,"Marked JA. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Aug 2025.",Auster,"The Griffin Trust, Hooton Park",on_display
de Havilland Canada,Chipmunk,T.10,WB730,,,fixed_wing,monoplane,military,trainer,,"Marked G-AOUO. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",DHC-1; DHC1; G-AOUO,"The Griffin Trust, Hooton Park",on_display
Auster,AOP,,WE536,,,fixed_wing,monoplane,military,recon,,"Marked G-ARTM. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",G-ARTM,"The Griffin Trust, Hooton Park",under_restoration
de Havilland Canada,Chipmunk,T.10,WG477,,,fixed_wing,monoplane,military,trainer,,"Marked 8362M (PAX). Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",DHC-1; DHC1; 8362M,"The Griffin Trust, Hooton Park",on_display
Gloster,Meteor,T.7,WH132,,,fixed_wing,monoplane,military,trainer,,"Marked 610 Sqn marks. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Aug 2025.",,"The Griffin Trust, Hooton Park",on_display
de Havilland Canada,Chipmunk,T.10,WP978,,,fixed_wing,monoplane,military,trainer,,"Marked PAX. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",DHC-1; DHC1,"The Griffin Trust, Hooton Park",on_display
English Electric,Canberra,PR.7,WT520,,,fixed_wing,monoplane,military,bomber,,"Nose section only. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",,"The Griffin Trust, Hooton Park",in_storage
de Havilland,Vampire,T.11,XD624,,,fixed_wing,monoplane,military,trainer,,"Formerly displayed at the RAF Millom Museum in Cumbria; moved to Hooton Park in March 2011 after Millom closed. Marked O. Held by The Griffin Trust in the World War I hangars at Hooton Park, Ellesmere Port. Last confirmed present Oct 2024.",DH.100,"The Griffin Trust, Hooton Park",on_display
