manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Lancaster,B.VII,NX611,,,fixed_wing,monoplane,military,bomber,,"Centrepiece of the museum, kept in ground-running condition and used for taxi rides; the subject of a long-term restoration to airworthy condition. Wears LE-H on one side and DX-F on the other. Confirmed present 2026.",Just Jane; G-ASXX; LE-H; DX-F; GASXX; LEH; DXF,Lincolnshire Aviation Heritage Centre,on_display
de Havilland,Mosquito,NF.II,HJ711,,,fixed_wing,monoplane,military,fighter,,"Complex composite rebuild incorporating PF498 and VA878 wings, NT616 engines and RS715 rear fuselage; ground-runnable and taxied at museum events. Confirmed present 2023.",VI-C; VIC,Lincolnshire Aviation Heritage Centre,on_display
Handley Page,Hampden,Mk I,AE436,,,fixed_wing,monoplane,military,bomber,,Long-running static restoration from recovered wreckage; not complete.,,Lincolnshire Aviation Heritage Centre,under_restoration
Bristol,Bolingbroke,Mk IVT,9980,,,fixed_wing,monoplane,military,bomber,,Ex-Royal Canadian Air Force Bolingbroke under restoration as a Bristol Blenheim.,Blenheim,Lincolnshire Aviation Heritage Centre,under_restoration
North American,B-25,TB-25N,44-29366,Mitchell,,fixed_wing,monoplane,military,bomber,,"Ex-USAAF Mitchell displayed inside, marked 34037.",B25; N9115Z; 34037,Lincolnshire Aviation Heritage Centre,on_display
Vickers,Wellington,Mk IC,L7775,,,fixed_wing,monoplane,military,bomber,,Tail section only; the remainder of the airframe is not present (a further section is at Moreton-in-Marsh).,,Lincolnshire Aviation Heritage Centre,on_display
Supermarine,Spitfire,Mk VB,BL655,,,fixed_wing,monoplane,military,fighter,,"Recovered remains only, not a complete airframe.",,Lincolnshire Aviation Heritage Centre,on_display
North American,P-51,P-51C,42-103007,Mustang,,fixed_wing,monoplane,military,fighter,,"Recovered crash remains of a USAAF Mustang, displayed as relics.",P51,Lincolnshire Aviation Heritage Centre,on_display
English Electric,Canberra,E.15,WH957,,,fixed_wing,monoplane,military,bomber,,"Nose section only; ex-No.2 School of Technical Training Cosford as 8869M, at East Kirkby since 1993.",8869M,Lincolnshire Aviation Heritage Centre,on_display
Percival,Proctor,Mk III,,,,fixed_wing,monoplane,military,trainer,,Percival Proctor airframe held by the centre; serial not established from a source and left blank.,,Lincolnshire Aviation Heritage Centre,under_restoration
