manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Avro,Vulcan,B.2,XL360,,,fixed_wing,monoplane,military,bomber,,"Displayed outside in 617 Squadron markings; open to visitors on cockpit tours. A Blue Steel missile, a 1000lb bomb and a WE.177 tactical nuclear bomb are displayed alongside it.",,Midland Air Museum,on_display
Armstrong Whitworth,Argosy,101,G-APRL,,,fixed_wing,monoplane,civilian,freighter,,Ex-Armstrong Whitworth Argosy freighter displayed outside and frequently open for cockpit tours.,,Midland Air Museum,on_display
Hawker,Sea Hawk,FGA.6,WV797,,,fixed_wing,monoplane,military,ground_attack,,Displayed outside.,A2637; J-491; J491,Midland Air Museum,on_display
British Aerospace,Sea Harrier,FA.2,ZE694,,,fixed_wing,monoplane,military,fighter,,Displayed outside in 801 Naval Air Squadron markings.,N-004; N004,Midland Air Museum,on_display
Beagle,206,206,G-ASWJ,,,fixed_wing,monoplane,civilian,private,,Displayed at the museum.,,Midland Air Museum,on_display
Boulton Paul,P.111,A,VT935,,,fixed_wing,monoplane,military,experimental,,"The unique Boulton Paul P.111A delta research aircraft, displayed outside.",,Midland Air Museum,on_display
Chargus,Vortex,Vortex 120,G-MJWH,,,fixed_wing,monoplane,civilian,private,,Microlight displayed inside.,,Midland Air Museum,on_display
Chichester-Miles,Leopard,,G-BRNM,,,fixed_wing,monoplane,civilian,experimental,,"Chichester-Miles Leopard prototype business jet, displayed inside.",CMC Leopard,Midland Air Museum,on_display
de Havilland Canada,U-6,U-6A,58-2062,Beaver,,fixed_wing,monoplane,military,utility,,Ex-US Army; displayed outside.,U6; 0-82062; 082062,Midland Air Museum,on_display
de Havilland,Dove,,G-ALCU,,,fixed_wing,monoplane,civilian,commercial_transport,,Displayed at the museum; under restoration in 2026.,,Midland Air Museum,under_restoration
de Havilland,Vampire,F.1,VF301,,,fixed_wing,monoplane,military,fighter,,Displayed inside.,7060M; RAL-G; RALG,Midland Air Museum,on_display
de Havilland,Vampire,T.11,XD626,,,fixed_wing,monoplane,military,trainer,,Displayed at the museum.,,Midland Air Museum,on_display
de Havilland,Vampire,T.11,XE855,,,fixed_wing,monoplane,military,trainer,,Under restoration.,,Midland Air Museum,under_restoration
de Havilland,Sea Vixen,FAW.2,XN685,,,fixed_wing,monoplane,military,fighter,,Displayed outside in 890 Naval Air Squadron markings.,8173M; VL-703; VL703,Midland Air Museum,on_display
de Havilland,Sea Vixen,FAW.2,XJ579,,,fixed_wing,monoplane,military,fighter,,"Nose section only, under restoration.",121,Midland Air Museum,under_restoration
Druine,Turbulent,,BAPC126,,,fixed_wing,monoplane,civilian,private,,Druine Turbulent homebuilt displayed inside.,,Midland Air Museum,on_display
Dassault,Mystere IV,IVA,70,,,fixed_wing,monoplane,military,fighter,,Ex-Armee de l Air; displayed outside.,8-NV; 8NV,Midland Air Museum,on_display
English Electric,Canberra,PR.3,WF922,,,fixed_wing,monoplane,military,recon,,Displayed outside.,,Midland Air Museum,on_display
English Electric,Canberra,T.17,WH646,,,fixed_wing,monoplane,military,electronic_warfare,,"Nose section only, displayed inside.",,Midland Air Museum,on_display
English Electric,Lightning,F.6,XR771,,,fixed_wing,monoplane,military,fighter,,Displayed outside in 5 Squadron markings.,AN,Midland Air Museum,on_display
