manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
North American,F-86,D,16171,Sabre,,fixed_wing,monoplane,military,fighter,,"Marked Ex HAF, USAF c/s FU-171. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",F86; F-86D; F86D,North East Land Sea and Air Museums,on_display
Republic,F-84,F,26541,Thunderstreak,,fixed_wing,monoplane,military,fighter,,"Marked 541, ex HAF, USAF. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",F84F; F84,North East Land Sea and Air Museums,on_display
North American,F-100,D,42157,Super Sabre,,fixed_wing,monoplane,military,fighter,,"Marked 11-ML, ex AdlA, USAF. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",F100; F100D,North East Land Sea and Air Museums,on_display
FMA,IA 58,IA.58A,A-522,Pucara,,fixed_wing,monoplane,military,ground_attack,,"Marked Ex FAAr. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",IA58; IA-58,North East Land Sea and Air Museums,on_display
Hawker,Hunter,F.51,E-419,,,fixed_wing,monoplane,military,fighter,,"Marked Ex RDAF. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
Avro,Anson,C.19,TX213,,,fixed_wing,monoplane,military,trainer,,"Marked G-AWRS. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",G-AWRS,North East Land Sea and Air Museums,under_restoration
de Havilland Canada,Chipmunk,T.10,WB685,,,fixed_wing,monoplane,military,trainer,,"Fuselage only. Marked (Rear from WP969). Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Nov 2023.",DHC-1; DHC1,North East Land Sea and Air Museums,in_storage
Westland,Dragonfly,HR.5,WG724,,,rotary_wing,,military,search_rescue,,"Marked LM-932. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",S-51; S51,North East Land Sea and Air Museums,on_display
English Electric,Canberra,TT.18,WJ639,,,fixed_wing,monoplane,military,trainer,,"Marked 39. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
Gloster,Meteor,F.8,WL181,,,fixed_wing,monoplane,military,fighter,,"Marked X, 92 Sqn marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
Slingsby,Cadet,TX.3,WT913,,,fixed_wing,monoplane,military,trainer,,"Fuselage only. Marked BGA3239/FGA. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Nov 2023.",T.7; T7; Kirby Cadet; BGA3239,North East Land Sea and Air Museums,in_storage
de Havilland,Vampire,T.11,WZ518,,,fixed_wing,monoplane,military,trainer,,"Marked B. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",DH.100,North East Land Sea and Air Museums,on_display
Slingsby,Grasshopper,TX.1,WZ767,,,fixed_wing,monoplane,military,trainer,,"Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Oct 2024.",T.38; T38,North East Land Sea and Air Museums,in_storage
Hawker,Hunter,F.6A,XE606,,,fixed_wing,monoplane,military,fighter,,"Marked Ex RAF. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
de Havilland,Sea Venom,FAW.21,XG680,,,fixed_wing,monoplane,military,fighter,,"Marked 438, 891 NAS marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",DH.112,North East Land Sea and Air Museums,on_display
Bristol,Sycamore,HR.14,XJ917,,,rotary_wing,,military,search_rescue,,"Marked H-S. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",Bristol 171,North East Land Sea and Air Museums,on_display
Avro,Vulcan,B.2,XL319,,,fixed_wing,monoplane,military,bomber,,"Marked 44 Sqn marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",Hawker Siddeley Vulcan,North East Land Sea and Air Museums,on_display
Saunders-Roe,Skeeter,AOP.12,XM555,,,rotary_wing,,military,recon,,"Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",Saro Skeeter,North East Land Sea and Air Museums,on_display
Westland,Whirlwind,HAR.9,XN258,,,rotary_wing,,military,search_rescue,,"Marked CU-589. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",S-55; S55,North East Land Sea and Air Museums,on_display
Hunting,Jet Provost,T.3,XN503,,,fixed_wing,monoplane,military,trainer,,"Nose section only. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",BAC Jet Provost,North East Land Sea and Air Museums,on_display
de Havilland,Sea Vixen,FAW.2,XN696,,,fixed_wing,monoplane,military,fighter,,"Nose section only. Marked 751. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",DH.110,North East Land Sea and Air Museums,in_storage
Hunting,Jet Provost,T.4,XP627,,,fixed_wing,monoplane,military,trainer,,"Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",BAC Jet Provost,North East Land Sea and Air Museums,on_display
British Aerospace,Hawk,T.1A,XX265,,,fixed_wing,monoplane,military,trainer,,"Marked CP, 100 Sqn marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",Hawker Siddeley Hawk,North East Land Sea and Air Museums,on_display
Westland,Sea King,HAR.3,XZ590,,,rotary_wing,,military,search_rescue,,"Marked F. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",S-61; S61,North East Land Sea and Air Museums,on_display
British Aerospace,Sea Harrier,F/A2,ZD582,,,fixed_wing,monoplane,military,fighter,,"Marked 002, 801 NAS marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
Panavia,Tornado,F.3,ZE204,,,fixed_wing,monoplane,military,ground_attack,,"Marked FC, 25 Sqn marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",,North East Land Sea and Air Museums,on_display
English Electric,Lightning,F.53,ZF594,,,fixed_wing,monoplane,military,fighter,,"Marked Wears, 11 Sqn marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Last confirmed present Jul 2026.",BAC Lightning; XS933,North East Land Sea and Air Museums,on_display
de Havilland,Comet,4C,G-BEEX,,,fixed_wing,monoplane,civilian,commercial_transport,,"Nose section only of a de Havilland Comet 4C airliner. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; DH.106; DH106; Comet,North East Land Sea and Air Museums,on_display
Hawker Siddeley,Trident,1C,G-ARPO,,,fixed_wing,monoplane,civilian,commercial_transport,,"Nose section of a de Havilland Trident 1C airliner. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; DH.121; DH121; HS.121; HS121,North East Land Sea and Air Museums,on_display
Short,SD3-30,200,G-OGIL,,,fixed_wing,monoplane,civilian,commercial_transport,,"Short SD3-30 commuter airliner, built at Belfast. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; SD3-30; SD330; Shorts 330,North East Land Sea and Air Museums,on_display
Westland,Widgeon,Series 2,G-APTW,,,rotary_wing,,civilian,private,,"Westland Widgeon light helicopter, a Westland development of the Sikorsky S-51. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; Widgeon,North East Land Sea and Air Museums,on_display
Aerospatiale,Gazelle,,G-BAGJ,,,rotary_wing,,civilian,private,,"Aerospatiale Gazelle in civil marks. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",SA.341; SA341; SA.342; SA342,North East Land Sea and Air Museums,on_display
Luton,Minor,,G-AFUG,,,fixed_wing,monoplane,civilian,private,,"Luton Minor single-seat homebuilt light aeroplane of 1939. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; Luton LA-4; LA4,North East Land Sea and Air Museums,on_display
Auster,J/1,J/1N,G-APKM,Alpha,,fixed_wing,monoplane,civilian,private,,"Auster J/1N Alpha light aeroplane. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; J1N; Alpha,North East Land Sea and Air Museums,on_display
AES,Lone Ranger,,G-MBDL,,,fixed_wing,monoplane,civilian,private,,"AES Lone Ranger microlight. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; Lone Ranger,North East Land Sea and Air Museums,on_display
Mignet,HM.14,,G-ADVU,Pou-du-Ciel,,fixed_wing,monoplane,civilian,private,,"Midget Flying Flea, a 1930s Mignet-inspired homebuilt. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; HM.14,North East Land Sea and Air Museums,on_display
Carman,MS.100S,,,,,fixed_wing,monoplane,civilian,private,,"Carman MS.100S homebuilt light aeroplane. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; MS100S,North East Land Sea and Air Museums,on_display
Brown,Helicopter,,,,,rotary_wing,,civilian,experimental,,"Replica of a Brown Helicopter carrying British Aviation Preservation Council number BAPC.96. Not an original airframe. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; BAPC.96,North East Land Sea and Air Museums,on_display
Hawker,Hurricane,,,,,fixed_wing,monoplane,military,fighter,,"Full-size replica of a Hawker Hurricane. Not an original airframe. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",,North East Land Sea and Air Museums,on_display
Morane-Saulnier,Type N,,,,,fixed_wing,monoplane,military,fighter,,"Replica of a Morane-Saulnier Type N monoplane fighter of 1914. Not an original airframe. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; Bullet,North East Land Sea and Air Museums,on_display
de Havilland,DH.60,DH.60G,,Moth,Jason,fixed_wing,biplane,civilian,private,,"Replica of the de Havilland Gipsy Moth 'Jason' flown solo to Australia by Amy Johnson in 1930; Johnson was born in Hull. Not an original airframe. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes. Tail left blank because this is a replica wearing the identity of the original Gipsy Moth, which is in the Science Museum.",HM14; Flying Flea; DH60G; Gipsy Moth; Jason; G-AAAH,North East Land Sea and Air Museums,on_display
Westland,Wapiti,IIA,,,,fixed_wing,biplane,military,recon,,"Replica of a Westland Wapiti army co-operation biplane. Not an original airframe. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",HM14; Flying Flea; Wapiti,North East Land Sea and Air Museums,on_display
Slingsby,Cadet,TX.3,WT917,,,fixed_wing,monoplane,military,trainer,,"Slingsby Cadet TX.3 training glider. Held by the North East Land Sea and Air Museums at Usworth, Sunderland. Listed in the museum's own on-display inventory but not covered by the eurodemobbed ex-military survey, which records only former service airframes.",T.7; T7; Kirby Cadet,North East Land Sea and Air Museums,on_display
