manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Aermacchi,MB.339,A,0767,,,fixed_wing,monoplane,military,trainer,,"Marked 4-A-116, ex FAAr. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.",MB339,South Yorkshire Aircraft Museum,on_display
de Havilland,Vampire,T.55,333,,,fixed_wing,monoplane,military,trainer,,Cockpit section only. Marked ex Iraq. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present May 2024.,DH.100,South Yorkshire Aircraft Museum,in_storage
Scottish Aviation,Bulldog,Sk 61D,61036,,,fixed_wing,monoplane,military,trainer,,"Marked HA-TUK, ex SweAF. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.",Beagle Bulldog; HA-TUK,South Yorkshire Aircraft Museum,on_display
Bristol,Bolingbroke,IVT,9893,,,fixed_wing,monoplane,military,bomber,,Marked Ex RCAF. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.,Blenheim,South Yorkshire Aircraft Museum,under_restoration
Bell,UH-1,H,AE-406,,,rotary_wing,,military,utility,,"Cabin section only. Marked ex FAAr, ex USAR, DHFS marks. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.",UH1; Huey; Iroquois; Bell 205; UH1H,South Yorkshire Aircraft Museum,in_storage
Hawker,Hunter,F.51,E-424,,,fixed_wing,monoplane,military,fighter,,"Marked B, ex RDAF, wears, 92 Sqn marks. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.",WV314,South Yorkshire Aircraft Museum,on_display
North American,Harvard,IIB,FX322,,,fixed_wing,monoplane,military,trainer,,Cockpit section only. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Jul 2026.,AT-6; AT6; T-6; T6; Texan,South Yorkshire Aircraft Museum,on_display
Auster,Auster,Mk I,LB314,,,fixed_wing,monoplane,military,recon,,"Auster Mk I of 1942, an early Taylorcraft Auster air observation post aircraft; later Danish civil registration OY-DSZ. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster in Building 23. Last confirmed present Jul 2026.",Taylorcraft Auster; OY-DSZ,South Yorkshire Aircraft Museum,on_display
de Havilland,Tiger Moth,,N9399,,,fixed_wing,biplane,military,trainer,,Airframe frame only. Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Feb 2025.,DH.82; DH82,South Yorkshire Aircraft Museum,on_display
de Havilland,DH.89,II,RL962,Dominie,,fixed_wing,biplane,military,transport,,Held by the South Yorkshire Aircraft Museum (AeroVenture) at Doncaster. Last confirmed present Feb 2025.,Dragon Rapide; DH89,South Yorkshire Aircraft Museum,on_display
