manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Gloster,Meteor,F.4,EE549,,,fixed_wing,monoplane,military,fighter,,The Meteor F.4 that set the world air speed record of 616 mph in 1946 flying from Tangmere. Confirmed on display inside May 2026.,High Speed Flight,Tangmere Military Aviation Museum,on_display
de Havilland,Venom,NF.1R,J-1649,,,fixed_wing,monoplane,military,fighter,,Nose section only of an ex-Swiss Air Force Venom NF.1R (Mk 1R). Confirmed on display inside May 2026.,,Tangmere Military Aviation Museum,on_display
Hawker,Hunter,F.4,WV332,,,fixed_wing,monoplane,military,fighter,,"Nose section only, in 234 Squadron markings; formerly Swiss J-4201 and previously with 1254 Sqn ATC at Godalming. Confirmed May 2026.",J-4201; 7673M; G-9-406; J4201; G9406,Tangmere Military Aviation Museum,on_display
Hawker,Hurricane,Mk I,P3179,,,fixed_wing,monoplane,military,fighter,,"Recovered wreckage of a Hawker Hurricane I, displayed as excavated. Last reported Aug 2024.",,Tangmere Military Aviation Museum,on_display
Hawker,Hunter,P.1067,WB188,,,fixed_wing,monoplane,military,experimental,,"The Hawker Hunter prototype P.1067, first flown in 1951; later the world air speed record aircraft. On loan from the RAF Museum. Confirmed May 2026.",7154M,Tangmere Military Aviation Museum,on_display
English Electric,Canberra,B.2,WE113,,,fixed_wing,monoplane,military,bomber,,"Nose section only, on loan since November 2011. Confirmed on display inside May 2026.",,Tangmere Military Aviation Museum,on_display
Supermarine,Swift,FR.5,WK281,,,fixed_wing,monoplane,military,recon,,The Supermarine Swift FR.5 in 79 Squadron markings coded S; on loan from the RAF Museum. Confirmed on display inside May 2026.,7712M,Tangmere Military Aviation Museum,on_display
Hawker,Hunter,F.5,WP190,,,fixed_wing,monoplane,military,fighter,,Hunter F.5 in 1 Squadron markings coded K. Confirmed on display inside May 2026.,7582M,Tangmere Military Aviation Museum,on_display
de Havilland Canada,Chipmunk,T.10,WZ876,,,fixed_wing,monoplane,military,trainer,,Cockpit section only. Confirmed on display inside May 2026.,DHC-1; DHC1,Tangmere Military Aviation Museum,on_display
Percival,Provost,T.1,XF840,,,fixed_wing,monoplane,military,trainer,,Cockpit section only. Confirmed on display inside May 2026.,,Tangmere Military Aviation Museum,on_display
de Havilland,Vampire,T.11,XH313,,,fixed_wing,monoplane,military,trainer,,"Vampire T.11 coded E, under restoration; last reported Aug 2024.",,Tangmere Military Aviation Museum,under_restoration
de Havilland,Sea Vixen,FAW.2,XJ580,,,fixed_wing,monoplane,military,fighter,,"Sea Vixen FAW.2 in 899 NAS markings, coded 131/E. Displayed outside; confirmed May 2026.",,Tangmere Military Aviation Museum,on_display
Folland,Gnat,T.1,XR571,,,fixed_wing,monoplane,military,trainer,,"Folland Gnat T.1 in Red Arrows markings, under restoration; last reported Aug 2024.",,Tangmere Military Aviation Museum,under_restoration
Westland,Wessex,HU.5,XS511,,,rotary_wing,,military,transport,,"Westland Wessex HU.5 coded M, displayed outside. Confirmed May 2026.",,Tangmere Military Aviation Museum,on_display
McDonnell Douglas,Phantom,FGR.2,XV408,,,fixed_wing,monoplane,military,fighter,,"Phantom FGR.2 in 6 Squadron markings coded L, displayed outside. Confirmed May 2026.",F-4M; F4M; Phantom II,Tangmere Military Aviation Museum,on_display
Hawker Siddeley,Harrier,GR.3,XV744,,,fixed_wing,monoplane,military,ground_attack,,"Harrier GR.3 in 1 Squadron markings, displayed outside. Confirmed May 2026.",,Tangmere Military Aviation Museum,on_display
British Aerospace,Sea Harrier,FA.2,XZ459,,,fixed_wing,monoplane,military,fighter,,"Sea Harrier FA.2 coded 25, displayed outside. Confirmed May 2026.",,Tangmere Military Aviation Museum,on_display
English Electric,Lightning,F.53,ZF578,,,fixed_wing,monoplane,military,fighter,,"Ex Royal Saudi Air Force Lightning F.53 displayed inside as XR753 in 23 Squadron markings, coded A.",XR753; 53-681; 53681,Tangmere Military Aviation Museum,on_display
