manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Beechcraft,C-45,H,52-10862,Expeditor,,fixed_wing,monoplane,military,transport,,,Model 18; UC-45; C45; UC45,Hill Aerospace Museum,on_display
Bell,HH-1,H,70-02470,Iroquois,,rotary_wing,,military,search_rescue,,,Huey; HH1,Hill Aerospace Museum,on_display
Bell,TH-13,T,67-17053,Sioux,,rotary_wing,,military,trainer,,,Model 47; TH13,Hill Aerospace Museum,on_display
Boeing,B-17,G,44-83663,Flying Fortress,Short Bier,fixed_wing,monoplane,military,bomber,1945,,B-17G-90-DL; B17,Hill Aerospace Museum,on_display
Boeing,B-29,,44-86408,Superfortress,Straight Flush,fixed_wing,monoplane,military,bomber,,museum page misprints the C-45's serial,B-29-55-MO; B29,Hill Aerospace Museum,on_display
Boeing,B-52,G,58-0191,Stratofortress,,fixed_wing,monoplane,military,bomber,,,B-52G-100-BW; B52,Hill Aerospace Museum,on_display
Boeing,KC-135,E,57-1510,Stratotanker,,fixed_wing,monoplane,military,tanker,,,KC135,Hill Aerospace Museum,on_display
Boeing-Stearman,PT-17,A,41-25284,Kaydet,,fixed_wing,biplane,military,trainer,,,Model 75; PT17,Hill Aerospace Museum,on_display
Burgess,Model F,,,,,fixed_wing,biplane,civilian,experimental,,replica of the Burgess-Wright Model B,,Hill Aerospace Museum,on_display
Cessna,O-2,A,68-10853,Super Skymaster,,fixed_wing,monoplane,military,recon,,,Model 337; O2,Hill Aerospace Museum,on_display
Cessna,T-37,B,57-2259,Tweet,,fixed_wing,monoplane,military,trainer,1958,built as T-37A,T37,Hill Aerospace Museum,on_display
Cessna,U-3,A,57-05869,Blue Canoe,,fixed_wing,monoplane,military,utility,,,Model 310; L-27A; U3; L27A,Hill Aerospace Museum,on_display
Consolidated,B-24,D,41-23908,Liberator,,fixed_wing,monoplane,military,bomber,,,B-24D-10-CO; B24,Hill Aerospace Museum,on_display
Convair,F-102,A,57-0833,Delta Dagger,,fixed_wing,monoplane,military,fighter,1958,,F102,Hill Aerospace Museum,on_display
Convair,F-106,A,58-0774,Delta Dart,,fixed_wing,monoplane,military,fighter,,,F106,Hill Aerospace Museum,on_display
Convair,T-29,C,52-1119,Flying Classroom,,fixed_wing,monoplane,military,trainer,,,Convair 240; T29,Hill Aerospace Museum,on_display
Convair,VC-131,D,55-0300,Samaritan,,fixed_wing,monoplane,military,transport,,,Convair 340; VC131,Hill Aerospace Museum,on_display
Curtiss,JN-4,D,5002,Jenny,,fixed_wing,biplane,military,trainer,1918,,Springfield-built; JN4,Hill Aerospace Museum,on_display
