manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
North American,P-51,D,45-11525,Mustang,Val-Halla,fixed_wing,monoplane,military,fighter,1945,,N151AF;57th FIS markings;airworthy,Heritage Flight Museum,on_display
Douglas,AD-4,NA,126965,Skyraider,The Proud American,fixed_wing,monoplane,military,ground_attack,,,N965AD;A-1D;ex-VA-115;airworthy,Heritage Flight Museum,on_display
Northrop,F-89,J,53-2453,Scorpion,,fixed_wing,monoplane,military,fighter,,,gate guardian;static,Heritage Flight Museum,on_display
Mikoyan-Gurevich,MiG-21,PFM,5409,Fishbed,,fixed_wing,monoplane,military,fighter,,,ex-Czechoslovak Air Force;static,Heritage Flight Museum,on_display
Beechcraft,AT-11,,42-37240,Kansan,Buff Baby,fixed_wing,monoplane,military,trainer,,,Model 18;bombardier trainer;airworthy,Heritage Flight Museum,on_display
Beechcraft,T-34,B,N168AF,Mentor,,fixed_wing,monoplane,military,trainer,,,IO-520 conversion;airworthy,Heritage Flight Museum,on_display
Beechcraft,T-34,B,N268AF,Mentor,,fixed_wing,monoplane,military,trainer,,,airworthy,Heritage Flight Museum,on_display
Beechcraft,T-34,B,N34MT,Mentor,,fixed_wing,monoplane,military,trainer,,,airworthy,Heritage Flight Museum,on_display
Bell,UH-1,B,,Iroquois,,rotary_wing,,military,utility,,,Huey;Aircraft Garden static,Heritage Flight Museum,on_display
Bell,Model 47,,,,,rotary_wing,,civilian,utility,,,restored to represent an H-13G,Heritage Flight Museum,on_display
Stinson,L-13,B,,Grasshopper,,fixed_wing,monoplane,military,recon,,,only airworthy original-configuration L-13B,Heritage Flight Museum,on_display
Cessna,O-1,,,Bird Dog,,fixed_wing,monoplane,military,recon,,,L-19;airworthy,Heritage Flight Museum,on_display
Cessna,O-2,A,,Skymaster,,fixed_wing,monoplane,military,recon,,,ex-Hurlburt Field FAC trainer;airworthy,Heritage Flight Museum,on_display
de Havilland Canada,DHC-2,,N682AF,Beaver,,fixed_wing,monoplane,military,utility,1954,,L-20A;USAF rescue colours;restored by Frank Borman;airworthy,Heritage Flight Museum,on_display
North American,AT-6,D,,Texan,Hog Wild Gunner,fixed_wing,monoplane,military,trainer,1942,,T-6D;ex-Spanish Air Force;airworthy,Heritage Flight Museum,on_display
North American,AT-6,F,,Texan,,fixed_wing,monoplane,military,trainer,1945,,T-6F;ET-6F conversion;ex-race number 70 Old Betsy;airworthy,Heritage Flight Museum,on_display
Boeing-Stearman,PT-13,,,Kaydet,,fixed_wing,biplane,military,trainer,,,donated by Bill Anders 2000;airworthy,Heritage Flight Museum,on_display
Fairchild,PT-19,,,Cornell,,fixed_wing,monoplane,military,trainer,,,airworthy,Heritage Flight Museum,on_display
Interstate,S-1A,,NC37266,Cadet,The Pearl,fixed_wing,monoplane,civilian,private,1941,,based Honolulu 1941;on loan from Lost Aviators of Pearl Harbor,Heritage Flight Museum,on_display
Canadian Car & Foundry,Harvard,IV,,Texan,Tora Zero,fixed_wing,monoplane,military,trainer,,,converted to represent an A6M2 Zero for Tora! Tora! Tora!,Heritage Flight Museum,on_display
Cessna,T-37,B,,Tweet,,fixed_wing,monoplane,military,trainer,,,,Heritage Flight Museum,on_display
