name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Wisconsin National Guard Museum,Camp Douglas,Wisconsin,United States,54618,North America,Volk Field Air National Guard Base,https://www.volkfield.ang.af.mil/Museum/,public,43.925422,-90.261169
Aviation Heritage Center of Wisconsin,Sheboygan Falls,Wisconsin,United States,53085,North America,N6191 Resource Dr,https://www.ahcw.org/,public,43.764292,-87.851442
Kelch Aviation Museum,Brodhead,Wisconsin,United States,53520,North America,N2463 Airport Rd,https://www.kelchmuseum.org/,public,42.592647,-89.378458
Richard I. Bong Veterans Historical Center,Superior,Wisconsin,United States,54880,North America,305 E 2nd St,https://bongcenter.org/,public,46.722786,-92.068325
Mitchell Gallery of Flight,Milwaukee,Wisconsin,United States,53207,North America,5300 S Howell Ave,https://www.mitchellgallery.org/,public,42.947581,-87.906103
Captain Lance Sijan Memorial Plaza,Milwaukee,Wisconsin,United States,53207,North America,5500 S Howell Ave,https://www.mitchellgallery.org/mitchell-aircraft,public,42.944983,-87.909181
Wisconsin Veterans Museum,Madison,Wisconsin,United States,53703,North America,30 W Mifflin St,https://wisvetsmuseum.com/,public,43.075094,-89.386311
Southeastern Wisconsin Aviation Museum / EAA Chapter 838,Racine,Wisconsin,United States,53404,North America,3333 N Green Bay Rd,https://eaa838.org/museum/,appointment,42.760350,-87.820217
Deke Slayton Memorial Space & Bicycle Museum,Sparta,Wisconsin,United States,54656,North America,200 W Main St Floor 2,https://www.dekeslaytonmuseum.org/,public,,
Truax Field Air National Guard Base / 115th Fighter Wing,Madison,Wisconsin,United States,53704,North America,Truax Field / Dane County Regional Airport,https://www.115fw.ang.af.mil/,restricted,43.131231,-89.333617
Fort McCoy,Sparta,Wisconsin,United States,54656,North America,Fort McCoy,https://home.army.mil/mccoy/,restricted,44.019558,-90.664367
Don Q Inn,Dodgeville,Wisconsin,United States,53533,North America,3658 State Highway 23,https://donqinn.net/,public,42.992428,-90.140500
Soldiers Walk Memorial Park -- Arcadia,Arcadia,Wisconsin,United States,54612,North America,,,public,44.241297,-91.493508
American Legion Community Park -- Argyle,Argyle,Wisconsin,United States,53504,North America,,,public,42.706164,-89.867606
Twining Park -- Monroe,Monroe,Wisconsin,United States,53566,North America,,,public,42.606761,-89.643817
Merrill Municipal Airport -- Merrill,Merrill,Wisconsin,United States,54452,North America,,,public,45.197881,-89.704075
Alexander Park -- Wausau,Wausau,Wisconsin,United States,54403,North America,,,public,44.930589,-89.626350
Tomah VA Medical Center -- Tomah,Tomah,Wisconsin,United States,54660,North America,,,public,44.001589,-90.495444
Jackson County Veterans Memorial -- Black River Falls,Black River Falls,Wisconsin,United States,54615,North America,,,public,44.288956,-90.864789
Veterans Park -- Marshfield,Marshfield,Wisconsin,United States,54449,North America,,,public,44.661583,-90.178475
Wisconsin Veterans Tribute -- Cadott,Cadott,Wisconsin,United States,54727,North America,,,public,44.937058,-91.148031
Wisconsin Veterans Memorial -- Prairie du Sac,Prairie du Sac,Wisconsin,United States,53578,North America,,,public,43.301536,-89.758522
VFW Post 7694 -- Prairie du Sac,Prairie du Sac,Wisconsin,United States,53578,North America,,,public,43.297281,-89.726644
VFW Post 2219 -- Fall River,Fall River,Wisconsin,United States,53932,North America,,,public,43.384750,-89.047069
VFW Post 9392 -- Lowell,Lowell,Wisconsin,United States,53557,North America,,,public,43.336264,-88.819994
VFW Post 8483 -- Madison,Madison,Wisconsin,United States,53704,North America,,,public,43.161533,-89.335206
VFW Post 8491 -- Prentice,Prentice,Wisconsin,United States,54556,North America,,,public,45.543217,-90.288456
VFW Post 328 -- Stoughton,Stoughton,Wisconsin,United States,53589,North America,,,public,42.917047,-89.200992
VFW Posts 8343 and 11038 -- Waterford,Waterford,Wisconsin,United States,53185,North America,,,public,42.755308,-88.208928
VFW Post 8280 -- Mosinee,Mosinee,Wisconsin,United States,54455,North America,,,public,44.787000,-89.550311
VFW Post 8068 -- Elderon,Elderon,Wisconsin,United States,54429,North America,,,public,44.783500,-89.256681
VFW Post 6550 -- Strum,Strum,Wisconsin,United States,54770,North America,,,public,44.556836,-91.387067
VFW Post 1621 -- Janesville,Janesville,Wisconsin,United States,53545,North America,,,public,42.666628,-89.030939
VFW Post 1037 -- Waupaca,Waupaca,Wisconsin,United States,54981,North America,,,public,44.358581,-89.046100
American Legion Post 496 -- Sherwood,Sherwood,Wisconsin,United States,54169,North America,,,public,44.173494,-88.264450
American Legion Post 199 -- Reedsville,Reedsville,Wisconsin,United States,54230,North America,,,public,44.153622,-87.950653
American Legion Post 80 -- New Richmond,New Richmond,Wisconsin,United States,54017,North America,,,public,45.134542,-92.548700
American Legion Post 309 -- Kendall,Kendall,Wisconsin,United States,54638,North America,,,public,43.790181,-90.364169
American Legion Post 75 -- Fond du Lac,Fond du Lac,Wisconsin,United States,54935,North America,,,public,43.766319,-88.428256
American Legion Post 110 -- New Lisbon,New Lisbon,Wisconsin,United States,53950,North America,,,public,43.880492,-90.158450
American Legion Post 24 / Harold A. Fritz Veterans Park -- Lake Geneva,Lake Geneva,Wisconsin,United States,53147,North America,,,public,42.583117,-88.408756
American Legion Post 100 -- Sparta,Sparta,Wisconsin,United States,54656,North America,,,public,43.954719,-90.797083
American Legion Post 339 -- Almond,Almond,Wisconsin,United States,54909,North America,,,public,44.258878,-89.416244
American Legion Post 237 -- Footville,Footville,Wisconsin,United States,53537,North America,,,public,42.667128,-89.214069
American Legion Post 114 -- Eagle River,Eagle River,Wisconsin,United States,54521,North America,,,public,45.913969,-89.258253
American Legion Post 370 / Wild Rose Lions Club -- Wild Rose,Wild Rose,Wisconsin,United States,54984,North America,,,public,44.169642,-89.252283
Vietnam Veterans of America Chapter 529 -- Hurley,Hurley,Wisconsin,United States,54534,North America,,,public,46.444800,-90.183058
Merton Fire Hall -- Merton,Merton,Wisconsin,United States,53056,North America,,,public,43.156208,-88.369261
Village of Bangor Veterans Memorial -- Bangor,Bangor,Wisconsin,United States,54614,North America,,,public,43.890117,-90.993283
Village of Pound Veterans Memorial -- Pound,Pound,Wisconsin,United States,54161,North America,,,public,45.094817,-88.037400
