name,city,state_province,country,postal_code,region,address,website,access_type,latitude,longitude
Vilu Military Museum,Vilu,Guadalcanal Province,Solomon Islands,,Oceania,"Vilu village, approx 25 km west of Honiara",,public,-9.319028,159.793333
Arc Light Memorial -- Andersen Air Force Base,Yigo,,Guam,,Oceania,"Arc Light Boulevard, Andersen Air Force Base",,restricted,,
Curaçao Museum,Willemstad,,Curaçao,,North America,Van Leeuwenhoekstraat,,public,12.108400,-68.933500
Al-Sairafi Boeing 707 Restaurant -- Wadi al-Badhan,Nablus,West Bank,Palestine,,Middle East,"Wadi al-Badhan, north-east of Nablus",,public,,
Queen Beatrix International Airport Aircraft Display -- Oranjestad,Oranjestad,,Aruba,,North America,Queen Beatrix International Airport,,public,12.500559,-70.019155
MiG-17 Display -- Conakry,Conakry,,Guinea,,Africa,Conakry air base,,restricted,9.585366,-13.607800
Lockheed TriStar 9L-LFB -- Cotonou,Cotonou,,Benin,,Africa,Cadjehoun Airport area,,restricted,6.347696,2.379840
Benin Air Force Airframe TY-AAM -- Cotonou,Cotonou,,Benin,,Africa,Cadjehoun Airport area,,restricted,6.351433,2.382856
Lesotho Defence Force Air Wing Display -- Maseru,Maseru,,Lesotho,,Africa,Lesotho Defence Force Air Wing base,,restricted,-29.306284,27.499655
An-26 ST-APO -- Wau,Wau,,South Sudan,,Africa,,,restricted,7.720379,27.980452
